#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2646271.563850727,301.35565058831514,2012.6747195150022,0.9999155190350192,0
4000,-2651294.813762471,300.5124904677039,1992.9838065040703,1.009794801264681,65.2
6000,-2650545.295751674,299.2978532444562,1993.5090930593226,1.00952872190015,65.3
8000,-2652074.512674365,299.73017139304545,1985.6770944798886,1.0135105513415026,65.6
10000,-2656634.4520063344,300.02883992975603,1983.3001095071281,1.0147252436307457,65.5
12000,-2653801.1997165885,299.6870841910042,1983.2688007281179,1.0147412625427545,65.7
14000,-2656200.280175399,300.11735372651907,1983.961587122848,1.0143869215386627,65.7
16000,-2654795.247419635,300.63449758469886,1980.3454811843303,1.0162391895422924,65.6
18000,-2655394.126070669,299.45336470482823,1983.5393399583402,1.014602859782339,65.5
20000,-2657173.4058717936,299.9257460668235,1979.8033259794956,1.0165174794909644,65.4
22000,-2656549.045138847,300.17412344224266,1982.7645277942272,1.0149993398617854,65.4
24000,-2654160.61366703,300.88327312505294,1982.7331586758753,1.0150153983184063,65.4
26000,-2653789.9215569664,300.32948069636404,1983.1106459809394,1.0148221890145854,65.3
28000,-2657901.777778985,299.6049250674266,1980.797161381512,1.0160074570224438,65.2
30000,-2655727.4133855402,300.4963094580032,1983.6417836484773,1.0145504613796452,65
32000,-2656607.4450145997,300.062205416757,1983.3794344001114,1.0146846598826424,64.9
34000,-2656741.1989434175,300.21198398208435,1982.345281616048,1.015214002059152,64.8
36000,-2656492.4752677064,301.0116071370176,1983.8600091745889,1.014438860355794,64.6
38000,-2655535.1473467704,299.80389924328983,1980.9636477331674,1.0159220685929449,64.6
40000,-2657661.083820455,300.6270794385716,1981.2975875595753,1.0157508389698129,64.4
42000,-2657853.4757587463,299.73428691925375,1983.9746961788146,1.0143802190061395,64.4
44000,-2661016.349991787,300.32094251186487,1978.1625928779983,1.0173606022367165,64.4
46000,-2658186.127838321,299.7337172593795,1977.781671083146,1.0175565464262506,64.2
48000,-2659352.386831647,298.7780699449033,1979.424153929971,1.0167122002714049,64.1
50000,-2657510.1757916063,300.02007687294935,1980.5887038342396,1.0161143921080025,64
52000,-2660283.626885643,300.2580669003571,1980.8344788194024,1.0159883162029664,64
54000,-2657076.8050055746,299.6485902262444,1979.0053206817402,1.0169273754752841,63.9
56000,-2659520.6362784263,301.0357048649425,1980.830066728282,1.0159905792103308,63.8
58000,-2657529.0569422003,299.6812135417529,1978.6369358962063,1.017116708124605,63.6
60000,-2660229.2764605004,300.80515508941085,1975.9584710605136,1.0184954371699808,63.5
62000,-2657814.571204195,299.56674216530166,1980.9365283183126,1.0159359767680147,63.5
64000,-2659398.2400316447,300.68668890930326,1979.0794507907349,1.0168892845653141,63.4
66000,-2658038.753602365,299.8437317801679,1983.7761852097747,1.0144817252152325,63.4
68000,-2660122.1982687563,299.9822768812375,1975.8535375592767,1.0185495273594534,63.3
70000,-2661049.745987922,300.24999402947765,1978.2592386213855,1.0173109001704876,63.3
72000,-2655623.0556356944,299.62300477654344,1981.8868793734166,1.0154488168612168,63.2
74000,-2657107.7566081993,299.26962838018744,1980.1112404199175,1.0163594073561835,63.1
76000,-2657239.661907647,300.82653178273824,1980.3364828119104,1.0162438071912498,63
78000,-2658101.5178764556,300.8061382316014,1975.0968389499635,1.0189397538008462,63
80000,-2657634.2505800948,299.44879796921975,1980.9139309744996,1.015947566092619,62.9
82000,-2658960.357622048,299.5065730989994,1981.7268471795817,1.015530818324799,62.9
84000,-2657379.959667798,300.7817750585293,1983.4835352839978,1.0146314053090195,62.8
86000,-2658028.128391413,300.8534526139908,1980.0450450017772,1.0163933855407308,62.8
88000,-2657106.3530736286,300.6130029261224,1978.9093867823678,1.0169766742502353,62.7
90000,-2658634.0204061214,301.6911190730968,1977.9494998195448,1.0174702068966437,62.7
92000,-2660676.479341721,299.5363391534906,1979.958215406343,1.0164379587169634,62.6
94000,-2658523.844560785,300.43357859583114,1980.4229867406577,1.0161994181478606,62.6
96000,-2656339.296336742,300.82807162947853,1981.5411986241254,1.015625962361963,62.5
98000,-2656885.5418093335,300.6389521948236,1980.8397102360188,1.0159856329681078,62.5
100000,-2656445.9284999818,300.7595897744565,1983.5086162719017,1.014618575539693,62.4
102000,-2659790.0576876644,300.6148475012272,1980.982093906637,1.0159126087019308,62.3
104000,-2660611.5838497654,300.5739903792219,1979.54945024212,1.0166478470979112,62.3
106000,-2660464.055840833,299.7392284926228,1982.7831911465557,1.0149897859728993,62.3
108000,-2659495.7677057665,300.418475855583,1981.1413661914646,1.0158309352155586,62.2
110000,-2660137.447162127,300.66452706264926,1980.4680961653094,1.016176272018331,62.1
112000,-2660053.5392016303,299.1588958347067,1978.4773389875934,1.01719875540365,62.1
114000,-2658034.808508288,299.4985778424349,1981.7564130453784,1.0155156675990644,62
116000,-2660007.834936494,299.35092921686936,1980.3905046641514,1.0162160857026525,61.9
118000,-2657425.724872945,300.1208364370814,1978.5430085153841,1.0171649937105003,61.9
120000,-2655514.0446589403,300.8676666671835,1983.109144474025,1.0148229573850693,61.8
122000,-2657913.1999570355,301.227882408163,1981.0307123014877,1.0158876762059141,61.7
124000,-2659301.067831777,300.58671378468324,1979.294844154759,1.0167786233343765,61.7
126000,-2659088.8485689927,299.56396794733985,1980.2853935143255,1.0162700252214665,61.6
128000,-2657974.450417919,301.34561973335667,1979.71023207138,1.016565280216192,61.5
130000,-2657634.862425206,300.27119680972805,1978.7295676949025,1.0170690930529473,61.5
132000,-2657973.293257123,301.5518435851776,1979.6371655297303,1.0166028006824068,61.4
134000,-2658905.111095175,300.8973671041429,1982.5335747751978,1.0151175810683084,61.3
136000,-2657074.955302786,301.0476202389569,1983.2159803133409,1.0147682888751917,61.3
138000,-2659171.416245695,299.671749254011,1980.784382180414,1.0160140118820877,61.2
140000,-2659949.9163210504,300.9450916146238,1980.4168098504665,1.016202587658535,61.1
142000,-2658888.36207938,300.21550885388507,1984.5403936750329,1.0140910677487833,61.1
144000,-2658808.3182753287,300.2680223875712,1981.4364861806541,1.0156796348752701,61
146000,-2656345.1354435477,300.6425739775557,1979.6028860403176,1.0166204045287077,60.9
148000,-2657418.0927011706,299.5397718596089,1978.9062082932842,1.0169783077027172,60.9
150000,-2661073.8812741414,300.91088915350673,1976.9991233963817,1.0179593217801364,60.8
152000,-2658740.8738978356,300.82466457701497,1977.3505059368822,1.0177784266219239,60.8
154000,-2658216.58520855,300.92303530853,1982.2212299821872,1.0152775363174726,60.8
156000,-2659161.102865724,300.5896563968707,1980.8858132362643,1.015961986988328,60.7
158000,-2657701.617881827,300.2849945011683,1980.395010952354,1.0162137733545944,60.7
160000,-2658743.403959699,299.8976205579931,1976.994785978585,1.0179615551268857,60.7
162000,-2661360.0371872243,300.70076408585606,1978.5370919428592,1.0171680354176684,60.6
164000,-2661372.240574548,299.70055612915314,1981.9904697980014,1.0153957435615792,60.6
166000,-2659828.4901585337,299.88867365949386,1981.8682462784648,1.0154583638905206,60.6
168000,-2658024.437073158,299.7973100352516,1977.7349434939397,1.0175805880524817,60.5
170000,-2657757.496413406,300.4226491514523,1981.7861725419298,1.0155004181057403,60.5
172000,-2659111.3039297257,300.6606761421145,1981.4070762867575,1.0156947105407665,60.5
174000,-2660778.02557637,300.62064831359794,1981.358938716841,1.0157193870767476,60.4
176000,-2658709.7186923195,300.53782974182076,1979.145752004762,1.0168552188609414,60.4
178000,-2659951.995119363,300.21832681220246,1975.1654584430157,1.0189043546756447,60.4
180000,-2659255.0031047296,300.34294600952694,1978.0840370699946,1.0174010047588755,60.3
182000,-2656761.179740494,300.8465238189389,1984.941006021899,1.0138863979871358,60.3
184000,-2659474.127088316,300.30063455897465,1979.0336001899366,1.0169128440362791,60.3
186000,-2659711.439698888,299.9068259931455,1980.2709047474596,1.0162774608200165,60.2
188000,-2659836.937367676,299.8384237221808,1980.7328992278015,1.016040419986506,60.2
190000,-2660702.720401639,299.32002542274773,1978.8385979479137,1.017013054475238,60.2
192000,-2659142.3397644274,299.48293943559884,1977.9650924231282,1.0174621860222333,60.1
194000,-2658685.4404090736,300.9018714435622,1978.953183141685,1.016954167464212,60.1
196000,-2659406.7361196503,300.74116684305534,1976.4052449193036,1.018265202435584,60.1
198000,-2660937.205607388,300.59625009734486,1975.390686156965,1.018788182467208,60.1
200000,-2663550.3072133455,299.991255622435,1974.3239965015628,1.0193386143199379,60
202000,-2657167.7916916106,301.45844850349965,1981.0572433326338,1.0158740710727614,60
204000,-2660051.9411317557,300.27182603274593,1980.8508967741834,1.015979895351977,60
206000,-2657981.975409353,300.0799446311382,1983.5002464248737,1.0146228569620346,59.9
208000,-2660050.799481759,300.03601757989696,1978.3164761235548,1.0172814668944885,59.9
210000,-2659433.326590471,300.76532857065786,1980.5150734568467,1.016152168587045,59.9
212000,-2661800.4413817134,300.0408781980374,1979.6883968426425,1.016576492554182,59.9
214000,-2658523.5769742075,300.08032887953226,1983.518170272156,1.0146136884323935,59.8
216000,-2657674.842619609,300.3226495736651,1982.3066227823324,1.0152338007062636,59.8
218000,-2663544.405702401,299.86824538226307,1977.4222703038072,1.0177414895318782,59.8
220000,-2659558.3184063006,299.7166923427024,1977.649339158206,1.0176246349462212,59.8
222000,-2657585.8896712307,299.8755914157298,1978.8972733051105,1.016982899496983,59.8
224000,-2661448.395285886,299.2825169566246,1977.0284533125057,1.0179442199936775,59.8
226000,-2658650.9905207865,300.37629838491046,1981.3935023301806,1.0157016687728795,59.8
228000,-2659923.193782693,299.2781072408579,1980.7396662263939,1.016036948786222,59.8
230000,-2657319.4510557707,301.97702131206773,1979.3513021431734,1.0167496212690665,59.7
232000,-2659764.702199636,301.0350414186437,1978.3140418044527,1.0172827186612226,59.7
234000,-2659991.077925017,300.7092621983133,1978.1297007666342,1.0173775187908805,59.7
236000,-2658607.4104857966,300.58879953938214,1980.0979072842433,1.0163662510874063,59.7
238000,-2659071.7179360576,300.81587925152985,1982.076255979821,1.0153517962494545,59.7
240000,-2658708.0173834916,301.44566732883317,1980.3799588367542,1.016221497209364,59.7
242000,-2660616.489794217,299.332703516496,1978.9516115060883,1.0169549751046623,59.7
244000,-2659035.0823646933,300.77632633142747,1976.033591770407,1.0184567181418318,59.7
246000,-2660856.0129883382,300.5877023475924,1978.0552003723867,1.0174158367439052,59.6
248000,-2658681.734896736,299.7506618849487,1983.6643075663478,1.0145389414610881,59.6
250000,-2656803.7154931724,301.00248426745617,1977.4499978989554,1.0177272188681359,59.6
252000,-2659130.5330477078,300.5159059790784,1979.0717111141369,1.0168932613763382,59.6
254000,-2656244.3444955423,299.5026364682614,1983.158263191658,1.0147978223248897,59.6
256000,-2660227.565899851,300.46450503562147,1983.9262337825746,1.0144049977984526,59.6
258000,-2658861.7566211056,299.9875844575069,1979.998113547506,1.0164174768867624,59.5
260000,-2660544.305139944,300.19096055869056,1981.6388435282197,1.0155759175720083,59.5
262000,-2658810.578152653,299.92463751919104,1979.5128281381385,1.0166666556565829,59.5
264000,-2660462.2676380854,300.73010599166673,1980.4311420708232,1.0161952334824145,59.5
266000,-2657479.2827376425,299.83984227910327,1980.5163996147098,1.0161514881694584,59.5
268000,-2659570.787981011,302.1338428425042,1978.4674192068612,1.0172038555071525,59.5
270000,-2655544.0727094915,300.1528821544741,1981.5520801008213,1.0156203851629824,59.5
272000,-2662342.284038838,300.8916767012525,1976.44720454846,1.0182435848430784,59.4
274000,-2661751.3353193086,299.0232873034038,1983.8933765668955,1.0144217983605153,59.4
276000,-2659241.6197304875,300.75338569945774,1983.3120939357214,1.0147191120177426,59.4
278000,-2658261.913317105,300.0571564867208,1982.3453534293715,1.0152139652815586,59.4
280000,-2658488.607594492,299.1653156524417,1982.8803641973996,1.0149400453754034,59.4
282000,-2659338.896953102,300.2370793835136,1985.5433507223634,1.0135788201654388,59.4
284000,-2658219.758540824,299.5338081691747,1984.3104563157078,1.0142085783033898,59.4
286000,-2656924.0596972704,300.3073225436133,1982.2812183671788,1.0152468116860944,59.4
288000,-2656344.6377523895,300.16530613504676,1981.2440515393455,1.0157782859960494,59.4
290000,-2658837.2665793877,301.2309182216034,1979.7465764492124,1.0165466180131226,59.4
292000,-2659213.9869555756,299.5313317550941,1977.328570698681,1.0177897172149768,59.4
294000,-2659962.445259664,300.1786825611143,1979.5515206031728,1.0166467838125735,59.3
296000,-2658826.843338402,300.1932028857096,1985.0493820020536,1.0138310437308924,59.3
298000,-2659384.0861397274,298.9363047831913,1981.765315431386,1.0155111057508985,59.3
300000,-2661844.788675843,300.17276713689756,1978.777065194033,1.0170446798741144,59.3
302000,-2658067.0268719774,299.52784803407735,1979.2183891535885,1.016817900359723,59.3
304000,-2661782.0231388323,300.7127579133941,1980.249846860094,1.0162882678685998,59.3
306000,-2658496.7369553875,299.28356485506237,1978.8640274021473,1.016999985317092,59.3
308000,-2660423.0444029383,300.0890581111447,1978.2310719139277,1.0173253849791255,59.3
310000,-2658963.075550949,299.7641998927676,1977.4160464421682,1.0177446928447198,59.3
312000,-2657857.827244861,299.502796416561,1980.7973620224689,1.016007354107975,59.2
314000,-2659044.276289262,300.22025589955416,1977.9771235834842,1.0174559972495876,59.2
316000,-2659867.1047511585,299.78788156104224,1978.8264707735161,1.0170192872070405,59.2
318000,-2658063.972279964,299.79247829713137,1982.264736012756,1.0152552533727535,59.2
