panel_task_id,task_id,leg_id,phase,replicate,stage,lambda_state,direction,snapshot_index,snapshot_index_end,snapshot_time_ps,switch_ps,run_dir
0,0,wt_to_G190E,holo,1,em,,,,,,,em
1,1,wt_to_G190E,holo,1,equil,0,,,,,,eq_lambda0
2,2,wt_to_G190E,holo,1,extract,0,,,,,,snapshots/lambda0
3,3,wt_to_G190E,holo,1,equil,1,,,,,,eq_lambda1
4,4,wt_to_G190E,holo,1,extract,1,,,,,,snapshots/lambda1
5,5,wt_to_G190E,holo,1,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
6,6,wt_to_G190E,holo,1,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
7,0,wt_to_G190E,holo,2,em,,,,,,,em
8,1,wt_to_G190E,holo,2,equil,0,,,,,,eq_lambda0
9,2,wt_to_G190E,holo,2,extract,0,,,,,,snapshots/lambda0
10,3,wt_to_G190E,holo,2,equil,1,,,,,,eq_lambda1
11,4,wt_to_G190E,holo,2,extract,1,,,,,,snapshots/lambda1
12,5,wt_to_G190E,holo,2,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
13,6,wt_to_G190E,holo,2,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
14,0,wt_to_G190E,holo,3,em,,,,,,,em
15,1,wt_to_G190E,holo,3,equil,0,,,,,,eq_lambda0
16,2,wt_to_G190E,holo,3,extract,0,,,,,,snapshots/lambda0
17,3,wt_to_G190E,holo,3,equil,1,,,,,,eq_lambda1
18,4,wt_to_G190E,holo,3,extract,1,,,,,,snapshots/lambda1
19,5,wt_to_G190E,holo,3,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
20,6,wt_to_G190E,holo,3,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
21,0,wt_to_G190E,apo,1,em,,,,,,,em
22,1,wt_to_G190E,apo,1,equil,0,,,,,,eq_lambda0
23,2,wt_to_G190E,apo,1,extract,0,,,,,,snapshots/lambda0
24,3,wt_to_G190E,apo,1,equil,1,,,,,,eq_lambda1
25,4,wt_to_G190E,apo,1,extract,1,,,,,,snapshots/lambda1
26,5,wt_to_G190E,apo,1,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
27,6,wt_to_G190E,apo,1,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
28,0,wt_to_G190E,apo,2,em,,,,,,,em
29,1,wt_to_G190E,apo,2,equil,0,,,,,,eq_lambda0
30,2,wt_to_G190E,apo,2,extract,0,,,,,,snapshots/lambda0
31,3,wt_to_G190E,apo,2,equil,1,,,,,,eq_lambda1
32,4,wt_to_G190E,apo,2,extract,1,,,,,,snapshots/lambda1
33,5,wt_to_G190E,apo,2,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
34,6,wt_to_G190E,apo,2,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
35,0,wt_to_G190E,apo,3,em,,,,,,,em
36,1,wt_to_G190E,apo,3,equil,0,,,,,,eq_lambda0
37,2,wt_to_G190E,apo,3,extract,0,,,,,,snapshots/lambda0
38,3,wt_to_G190E,apo,3,equil,1,,,,,,eq_lambda1
39,4,wt_to_G190E,apo,3,extract,1,,,,,,snapshots/lambda1
40,5,wt_to_G190E,apo,3,switch,0,fwd,0,99,100.000,100.0,switches/fwd_bundle000
41,6,wt_to_G190E,apo,3,switch,1,rev,0,99,100.000,100.0,switches/rev_bundle000
