#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2728717.926174378,299.65897724630844,2082.517452833914,0.9962963637741733,0
4000,-2735972.6066989265,300.71310449557495,2060.662134005394,1.0068630521791548,63.4
6000,-2742120.3413574398,299.8851728268203,2054.6251326569554,1.0098214670778562,62.3
8000,-2740401.1227796376,299.10274759086786,2052.7560676712083,1.0107409245700034,62.4
10000,-2739501.039488187,301.18345668023795,2049.503092633314,1.0123451744046208,62.1
12000,-2738677.466839539,301.14032239068933,2048.743035986813,1.0127207411130092,62.1
14000,-2742945.5105069354,300.12858454223243,2047.8334563288151,1.0131705580561312,62.1
16000,-2741081.7484167684,299.93529753217047,2046.3427179097514,1.0139086417909522,62.1
18000,-2741627.215487065,300.830050107052,2046.80385203389,1.013680213515803,62
20000,-2743552.5814430676,300.7501870919402,2043.7557955331454,1.0151920157434644,61.9
22000,-2742640.5654203687,300.3771686227667,2046.4314246590357,1.0138646918502894,61.9
24000,-2743449.6707794666,300.7865036165232,2048.3094129842398,1.0129351320667128,61.6
26000,-2744630.140214972,301.0993932126603,2046.5375445186464,1.013812119553704,60.4
28000,-2742236.909898931,299.5990572489384,2046.0053901870663,1.0140758063032191,60.2
30000,-2745184.999863256,299.5325686009607,2043.8628541552853,1.0151388394463405,59.6
32000,-2743395.8977574687,301.10078659026647,2046.7914505341441,1.013686355399436,59.1
34000,-2745294.5173203647,299.87491896997733,2044.419339781914,1.0148625212946816,58.7
36000,-2744123.7993485443,300.7013086866728,2048.0323871101277,1.0130721461306238,58.2
38000,-2744674.0805840697,300.81311038131315,2045.4994954278488,1.0143266084359035,57.8
40000,-2745178.5739592947,300.24459403394616,2044.508271140303,1.0148183771335302,57.3
42000,-2740857.4102881476,300.3298876749876,2047.9606352669587,1.013107639876205,57.1
44000,-2741104.538008364,300.32952101018884,2043.9042927889484,1.015118258264221,56.8
46000,-2741648.9463377297,300.2976704066897,2045.6064266348083,1.0142735859350553,56.6
48000,-2744358.8501964025,299.9463142671513,2045.638569367621,1.0142576488456008,56.4
50000,-2741458.0928546693,299.741235818093,2045.3627408320979,1.0143944271276821,56.2
52000,-2744714.7970478777,299.9767124517663,2041.5360553475293,1.0162958230984998,56
54000,-2746120.9492803607,299.1386369877477,2042.8530370259848,1.0156406399038926,55.9
56000,-2743864.0712429266,299.4369656261906,2044.7297014992876,1.0147084791859489,55.7
58000,-2745210.984591199,300.71941235721897,2044.8256584720962,1.0146608622394662,55.5
60000,-2743000.5772274807,299.96357832648624,2044.7072193602723,1.0147196361950663,55.3
62000,-2742553.6991651207,300.9030037191092,2042.9116524425613,1.0156114990454865,55.1
64000,-2742776.071220102,299.88704573938986,2043.9806075154424,1.0150803574779055,54.9
66000,-2743103.644916497,299.75284249064373,2047.422920426475,1.0133737124142888,54.7
68000,-2745295.7770206463,299.7606296268608,2045.4154006473566,1.0143683112476927,54.6
70000,-2745297.0112259965,300.53819447582407,2045.5688897755435,1.0142921981876378,54.4
72000,-2743301.810808761,299.14500490303806,2047.087560665989,1.0135397262048114,54.3
74000,-2742180.4773638137,300.0055432422598,2043.464778419365,1.0153365928624218,54.2
76000,-2744349.7497782335,300.50509453330085,2042.0581570912689,1.0160359823982963,54
78000,-2745478.649436118,300.6345434407031,2045.093359876316,1.0145280437858166,53.9
80000,-2745999.948629629,300.4313257824116,2043.0851557068286,1.0155252510935497,53.8
82000,-2743687.2447330784,300.4767817956051,2043.1438849329015,1.0154960602898606,53.7
84000,-2745238.2887207493,299.97714589758687,2040.2477036213384,1.016937581682855,53.6
86000,-2745651.2285831347,300.59242768382444,2044.0522690196801,1.0150447702346428,53.4
88000,-2745303.8162044846,301.187146463138,2046.721753084005,1.0137208746759843,53.3
90000,-2745583.8031630106,300.45779908106516,2047.7716199437584,1.0132011526811109,53.2
92000,-2746156.1568510924,300.2852357153142,2043.7298804015832,1.0152048886944847,53.1
94000,-2741865.5732363164,300.86145444007207,2044.31016903227,1.014916717230266,53.1
96000,-2746263.904603241,301.2681832238687,2041.6265069700132,1.0162507974261699,53
98000,-2743058.14167233,299.82282717559457,2044.239205193182,1.014951949108427,52.9
100000,-2747804.385853339,299.64321485013994,2044.8419994964697,1.0146527537411645,52.8
102000,-2746857.5950207133,300.36918875558996,2042.7954533183276,1.015669269473044,52.7
104000,-2747362.1568501424,300.20187716685086,2042.8099053126627,1.0156620840533481,52.6
106000,-2746497.8439602386,301.08250523213974,2042.32040705276,1.0159055154077412,52.5
108000,-2746288.3771100678,299.0249159408608,2042.4235077200485,1.01585423293075,52.5
110000,-2749265.465572009,299.360709395044,2041.3992325742086,1.0163639393252584,52.4
112000,-2746545.5814227425,299.4222728793011,2042.6385090871095,1.015747307477302,52.3
