#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2659570.2557846475,299.23733393275023,2032.2353037906482,0.9960782186814953,0
4000,-2666144.7923329454,301.2946574896396,2009.7894203418305,1.0072026953934028,34.5
6000,-2666078.2242761403,300.56890984932045,2004.3238484824149,1.0099492269545765,34.3
8000,-2673577.249821203,300.55857680565686,1998.0949088140605,1.0130976824033393,34.5
10000,-2671735.669929264,300.61423624967665,1997.1931310679458,1.0135551188577412,34.5
12000,-2671160.4264763873,301.15693595859926,1994.849413792456,1.0147459288634006,34.6
14000,-2674149.073414834,300.5728367310425,1999.4060750430062,1.0124333153773653,34.6
16000,-2672753.2922902517,300.8215120855408,1994.0747180979422,1.015140156469308,34.6
18000,-2672355.4297739565,300.60281530681385,1996.9538081682713,1.0136765873409042,34.6
20000,-2674500.9088386744,300.1067219918105,1995.2699880556638,1.014532034992431,34.6
22000,-2674077.848996753,298.67934816827767,1995.5171607273717,1.0144063710299467,34.5
24000,-2675764.603029564,299.7625544272413,1991.5417810151373,1.0164312597597722,34.4
26000,-2675538.7671267297,300.4261953648382,1993.669546445741,1.0153464624818294,34.3
28000,-2672677.567524813,300.23463026391767,1991.765847019825,1.0163169151485547,34.2
30000,-2673851.322523566,299.54418408487595,1991.489841978046,1.0164577687882335,34.2
32000,-2673567.8430967387,300.6593737727147,1991.7690965226025,1.0163152570624618,34.1
34000,-2671892.002510473,300.3908236158344,1992.5250316293186,1.0159296817898258,34
36000,-2672865.874954628,299.96276580990565,1995.0533610015939,1.0146421949963167,33.9
38000,-2673840.494873494,299.5715387908072,1992.9693475445301,1.0157031887296537,33.8
40000,-2672279.778968416,299.49808229093367,1994.7345212724872,1.014804376098184,33.8
42000,-2672159.706670424,300.4754464086042,1996.4389091612802,1.0139380233737512,33.7
44000,-2673457.010411972,300.31752539339453,1994.3495769670988,1.0150002510692393,33.7
46000,-2674785.459213013,301.0855310086518,1991.9420708168584,1.0162270032839473,33.6
