#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2663528.7670119293,300.19011986384214,2023.226092884109,1.0002918459288948,0
4000,-2664027.662949199,299.36035085877035,2017.1300068506023,1.0033148861547048,60.7
6000,-2666371.621894153,300.65561169568673,1998.938363820006,1.0124457060872063,58.8
8000,-2673774.4739788696,299.6345253358341,1996.8269866544288,1.0135162318560917,59.5
10000,-2671201.41686487,299.4193275733684,1992.447812043277,1.015743825735192,59.7
12000,-2671221.380902879,299.1622729562937,1993.4558604857837,1.0152301855780084,59.8
14000,-2672236.8878983073,298.5745075548107,1993.5995888011755,1.015156992683544,59.9
16000,-2671166.0439229067,300.44732592706396,1994.6732737522198,1.0146105579363929,59.9
18000,-2671235.657090105,300.3177821520141,1995.2664752901942,1.0143089097350793,59.8
20000,-2670483.4422750846,300.25764690106894,1988.635705052133,1.0176909516615038,59.7
22000,-2674296.8038249426,300.36978270169607,1993.002634543856,1.0154610576547218,59.8
24000,-2673007.904829921,299.245804634935,1993.6880692661134,1.0151119397165917,59.9
26000,-2673352.091898974,300.6110140093085,1992.929084819993,1.015498533589492,59.8
28000,-2673032.297270868,300.6302920728632,1993.8553201755929,1.0150267889067899,59.9
30000,-2671800.9748553596,301.22083300573354,1993.7161819338626,1.015097625991826,59.9
32000,-2670980.8496195413,300.1333324542046,1995.7233911903777,1.014076686236271,59.9
34000,-2675637.692217311,300.2911802173235,1993.8836288349444,1.015012377811185,60
36000,-2673351.9548077546,299.58308774261036,1991.101795076492,1.0164304849641315,59.9
38000,-2672838.8273071144,300.5106800789315,1992.6851864871944,1.0156228273820997,59.9
40000,-2672419.8688468616,300.6063778256301,1993.7273130223118,1.0150919586463538,59.7
42000,-2672349.383185951,300.024262889136,1992.2713490886922,1.0158337939800663,59.5
44000,-2671539.57388206,300.32051317134955,1995.6824534218206,1.014097488161251,59.4
46000,-2675705.5205037985,300.89870782278814,1993.349447383968,1.0152843826949496,59.2
48000,-2672003.607032478,300.9132217870128,1996.7146281908379,1.0135732641054818,59
50000,-2675662.525909284,299.1833751529663,1992.6160775694802,1.0156580517262153,58.8
52000,-2673453.432046242,300.330617196024,1993.2662564442358,1.0153267565933783,58.6
54000,-2673530.3915238064,299.69860853034766,1989.0650858373888,1.0174712620479849,58.6
56000,-2675528.484300012,300.24614656538574,1989.5605203325822,1.0172178943539965,58.4
58000,-2672557.134536473,299.0309706590446,1989.6696826481493,1.0171620851602634,58.3
60000,-2676356.8652959634,300.88219267983254,1988.4962061074498,1.0177623457196543,58.1
62000,-2675234.797321802,299.7743195259389,1988.4397102605046,1.0177912625358965,58
64000,-2675181.224899791,299.23745507772855,1989.6026913844983,1.0171963336932583,57.9
66000,-2673629.3567493223,301.03290059729795,1991.8621977036305,1.01604245791489,57.8
68000,-2672884.7759967875,299.44091386065645,1995.7143236330573,1.0140812937085784,57.6
70000,-2672396.6220229995,300.0694704146502,1991.829466007356,1.0160591545215534,57.4
72000,-2673693.2791260667,300.7420086649267,1992.3221233268448,1.015807905502307,57.3
74000,-2673305.272504978,300.9843089196005,1993.0327835387204,1.015445696577641,57.2
76000,-2673865.75786631,300.87343763925696,1995.4364835415367,1.014222492108917,57.1
78000,-2674406.7769117076,300.76758211156584,1994.6113176482193,1.014642073508721,57
80000,-2673714.6500991452,300.72216879973575,1992.873052485905,1.015527085710777,56.9
82000,-2673451.836231131,300.91618195092525,1991.647475138846,1.0161519990084904,56.8
84000,-2673622.7354757544,300.5693302442475,1991.3503014126427,1.0163036416781503,56.7
86000,-2673685.8337843344,299.0267040464216,1991.7512560026194,1.0160990520695268,56.6
88000,-2673007.5687399693,300.32953703310346,1993.453420723323,1.0152314281054085,56.5
90000,-2673113.9838261586,301.1554898490185,1993.254463432802,1.0153327637340968,56.4
92000,-2674154.937048301,299.9220662879476,1990.96304565153,1.0165013196014747,56.4
94000,-2673951.945294425,300.4312511393716,1992.4214024959879,1.0157572894204174,56.3
96000,-2671278.7768704426,299.29766106527023,1994.0185293041745,1.014943709619777,56.2
98000,-2675728.725477334,300.30334587994093,1991.6476855025592,1.016151891679514,56.1
100000,-2674133.948194351,300.8071211288777,1993.456919303486,1.0152296463420303,56
102000,-2673008.7578083854,300.25073184493027,1991.1291548102047,1.0164165183827376,55.9
104000,-2673860.4855232853,300.5096189889726,1993.9809446623233,1.014962840342128,55.8
