#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2552727.4125880823,298.8177346156579,1956.0513824593572,0.9967677170829853,0
4000,-2558511.4911279064,301.0164773327779,1942.3769433312013,1.003785015923439,34.9
6000,-2561474.61932287,300.06755351108745,1929.847963919379,1.0103017996460588,35
8000,-2567460.3324928507,300.879889718488,1922.5961079139609,1.0141125652784708,35.1
10000,-2566849.897897618,301.80768106255465,1923.0620898201853,1.0138668331677938,35.1
12000,-2567398.200521866,300.713247019371,1920.100099616099,1.0154308472672104,35.2
14000,-2568139.736314157,300.6538613910407,1920.2308589073245,1.0153617008844924,35.2
16000,-2568471.915706802,299.78964168443497,1920.93307305998,1.0149905263930825,35.1
18000,-2570838.3002596702,299.61430794011943,1922.4394419111366,1.0141952086942023,35
20000,-2570129.6504723243,300.72363026653863,1920.5336662254006,1.0152016105101715,34.9
22000,-2572230.564453304,300.44037917948333,1917.5139030523485,1.0168003829789196,34.8
24000,-2567527.0461486373,299.56674056187416,1922.1336659449596,1.014356548420635,34.7
26000,-2569544.859088475,300.8329311219009,1919.9784235357763,1.015495198847322,34.6
28000,-2568057.3869733196,301.4418825835434,1920.5779705576447,1.0151781916070413,34.6
30000,-2569522.6771885045,299.9763945494987,1922.3801245275376,1.0142265029244488,34.6
32000,-2571390.945471037,300.5075546427323,1918.1288855253201,1.016474380686393,34.6
34000,-2569489.5892272443,300.215604386079,1919.0060622023339,1.016009750773501,34.6
36000,-2569034.150399495,301.3543371930952,1914.1081108862481,1.0186095863144793,34.5
38000,-2567024.476417303,300.1616871518731,1917.4205071274432,1.0168499104622541,34.5
40000,-2570569.0430687126,300.29275710934775,1917.381919098707,1.0168703749472765,34.5
42000,-2571157.3666967712,299.94159968125933,1917.857181545093,1.0166183852231692,34.4
44000,-2569608.0153144524,299.8898971496718,1919.4992309052934,1.015748711746803,34.4
46000,-2570321.5171369296,300.121640399601,1915.5153298597718,1.0178612724199727,34.3
48000,-2572817.8969969004,300.0647367507992,1917.0666876626613,1.0170375832716556,34.3
50000,-2570465.3559215367,300.90185094398623,1914.4807757009753,1.018411308035804,34.2
52000,-2569011.8381142933,300.3879005906487,1922.1934229178505,1.014325014197261,34.1
54000,-2569160.1652935836,299.1628871202368,1917.0846616828326,1.0170280478273415,34
56000,-2572458.7053799685,300.61038330620676,1917.0874707486796,1.0170265575986492,34
58000,-2573129.582845362,299.1985661081448,1917.7110251012512,1.016695865785143,33.9
60000,-2570141.928575037,301.52378538763463,1914.0672031877061,1.018631356173876,33.9
62000,-2571246.7770634703,300.13292460452396,1917.540341581468,1.0167863636094432,33.8
64000,-2571784.1716250107,300.2140247416336,1916.229722582814,1.0174818019016345,33.8
66000,-2570244.5913857203,300.7369255099055,1916.555306799986,1.0173089521984282,33.7
68000,-2569014.47649619,300.5721309883405,1918.1948048484046,1.0164394492482833,33.7
70000,-2570209.587993702,299.7477476969744,1917.4462696820933,1.0168362482012545,33.6
72000,-2568839.8548003733,300.3394348433623,1917.632940348578,1.016737264972419,33.6
74000,-2571616.6997662783,300.2328895127026,1916.8067386738662,1.0171755094829966,33.5
76000,-2572677.3171157744,300.6823324299944,1913.8228639101892,1.0187614056441363,33.5
78000,-2570504.246851355,301.10608256895694,1919.4206123824727,1.0157903163137016,33.4
80000,-2571078.905397292,300.0803506088694,1916.237514756638,1.0174776644212844,33.4
82000,-2572326.6324460525,300.07111945745885,1915.235083895796,1.0180102105403535,33.4
84000,-2568589.1525461525,300.0204182045413,1917.7366294324306,1.016682291544939,33.4
86000,-2570892.55749679,300.3696391730841,1919.6247746365555,1.0156822816376576,33.3
88000,-2571681.1761478204,300.40313865346013,1915.2692949653967,1.0179920265605555,33.3
90000,-2571837.5098463204,300.59361334073634,1917.9499618623627,1.0165692065802436,33.3
92000,-2570714.193679204,299.80422257981184,1917.5702062759633,1.0167705279367691,33.2
94000,-2569208.6262797564,300.4793622499302,1919.8628232036128,1.0155563446650744,33.2
96000,-2571656.445586076,299.912349997179,1918.644198802392,1.0162013739744145,33.2
98000,-2571377.427821193,299.53917932881177,1920.7651595352268,1.0150792569888203,33.2
100000,-2569502.5775245335,301.05795327301377,1921.4276217466238,1.0147292819797606,33.2
102000,-2570908.6390429866,299.9801327360036,1920.5407625113385,1.015197859399519,33.2
104000,-2571146.011786578,299.804964223639,1918.6026608836135,1.0162233748248228,33.2
106000,-2571751.7480359245,299.7369450000653,1917.1183492749262,1.0170101766166069,33.1
108000,-2572367.2226007245,300.02211702869766,1920.5167289580468,1.0152105636949242,33.1
110000,-2569401.907232169,300.2547147993811,1918.0361726853132,1.0165235143930298,33.1
112000,-2572446.5189448223,301.2538730097506,1918.377130386823,1.0163428452662413,33.1
114000,-2570828.66000285,300.02763444458776,1918.81115248902,1.016112955390063,33.1
116000,-2570021.5003941376,299.18346937981204,1918.7706806788992,1.016134387826469,33
118000,-2568646.068488091,299.7717090929586,1921.0455201824193,1.0149311145973718,33
120000,-2571096.9612362944,300.21710446931434,1920.4375408217013,1.0152524253180328,33
122000,-2571013.765857842,301.1875194084898,1918.4055035639683,1.016327813576885,32.9
124000,-2571247.187061662,300.7639712260479,1919.6650989202203,1.0156609463222106,32.9
126000,-2570940.406973297,299.4138368258481,1915.0905427144605,1.0180870447135484,32.9
128000,-2572561.917834092,299.9443102846798,1917.70227002512,1.016700507407488,32.9
130000,-2570420.1856641006,299.5494857240464,1918.6997499531315,1.016171952406132,32.9
132000,-2572772.223686861,301.4192923875119,1914.4203791733896,1.01844343708506,32.9
134000,-2573358.4410503823,300.9007940062647,1914.2875677366385,1.0185140957146248,32.9
136000,-2573624.2817908507,299.92024478497524,1911.5006070117608,1.0199990854510017,32.9
138000,-2573223.5404039025,299.53059978541074,1916.0233605248807,1.0175913880595466,32.9
140000,-2572509.6525018997,299.3905677497397,1915.2314539323065,1.0180121399885613,32.9
142000,-2572134.345566267,300.8634770976788,1915.257239998262,1.0179984339820587,32.9
144000,-2570716.433939807,301.2675664602481,1916.2136384799262,1.0174903423282653,32.8
146000,-2570640.47580046,300.0623049771902,1913.520604875672,1.0189223288336167,32.8
148000,-2569673.0987005606,299.963770880306,1915.3834109270344,1.017931375967892,32.8
150000,-2569339.6930689067,301.1142964942193,1915.505244378129,1.0178666316437117,32.8
152000,-2572350.1953631025,299.81504364706683,1918.6543283491967,1.0161960089332873,32.8
154000,-2573943.656676898,299.72650969653637,1914.77528435256,1.0182546677535007,32.8
156000,-2571840.2238329593,300.7076755878147,1917.33964805597,1.0168927935996634,32.8
158000,-2574663.7711901423,299.8811821533398,1919.6891541626385,1.015648219277196,32.8
160000,-2572028.235231882,299.63577813540945,1916.298863908968,1.0174450904875403,32.7
162000,-2570091.4986564424,299.8045675351603,1919.6676146510913,1.0156596152951214,32.7
164000,-2572056.2794698235,300.2063855735534,1914.7436798981716,1.0182714749029593,32.7
166000,-2571187.9073515683,301.0784651496985,1917.3094143274386,1.0169088288104842,32.7
168000,-2572510.7843666933,301.47167875469563,1917.8607871734719,1.0166164739540486,32.7
170000,-2569857.8619856127,300.3146528147801,1918.9259676852694,1.0160521582512732,32.7
172000,-2569662.833895711,301.22162551639053,1917.2043375077642,1.0169645628517334,32.6
174000,-2570869.3515981734,299.7664957085968,1916.940187995081,1.0171046979980338,32.6
176000,-2569959.9693689626,300.7742654396095,1916.414426434917,1.0173837370959935,32.6
178000,-2572270.522440767,299.5011865647245,1917.2456874880636,1.0169426295831316,32.6
180000,-2568826.7259702627,300.83471998411454,1921.8195939419452,1.0145223189195607,32.5
182000,-2571995.723652061,300.7258533370122,1915.2236343478824,1.0180162963866604,32.5
184000,-2567479.961273443,300.1507005207449,1920.595810013821,1.0151687621233538,32.5
186000,-2569301.4208167344,300.09847023512293,1913.5897630234235,1.018885504440883,32.5
188000,-2572438.4104232546,300.64351535164366,1915.8251444506145,1.0176966706166386,32.5
190000,-2573673.600900423,298.8803814353441,1916.0201108600593,1.017593113944843,32.5
192000,-2571577.212408509,299.57196943119345,1917.910881855639,1.0165899205413584,32.5
194000,-2574083.2576434165,299.9026939178999,1915.8139604390258,1.0177026116587193,32.5
196000,-2572706.1371480934,301.46235866580827,1916.7178524863207,1.0172226801466313,32.5
198000,-2572111.7160096075,301.8240477869244,1916.5891407217491,1.0172909934451584,32.4
200000,-2571858.946206469,300.27967155759507,1914.3122078218025,1.0185009859021517,32.4
202000,-2572429.268766392,299.8308716639486,1918.8433199450699,1.0160959212901475,32.4
204000,-2572286.947199313,298.9270755006832,1914.4161108620422,1.0184457077688756,32.4
206000,-2571407.324091617,299.9925113125478,1914.5926226936817,1.0183518143133317,32.4
208000,-2569945.384338893,300.623075295413,1917.0443009517508,1.0170494599540831,32.4
210000,-2572029.7091514096,300.463052722885,1918.8114007466297,1.0161128239244206,32.4
212000,-2571105.842025619,299.443161996395,1915.6217804368212,1.0178047101481755,32.4
214000,-2571237.2870654594,299.68478086765504,1914.8862619356287,1.0181956546182445,32.4
216000,-2570054.420076944,300.11788411754486,1914.1145903790923,1.0186061382066394,32.4
218000,-2571569.7353708874,300.0216221538012,1912.77163605126,1.0193213001715486,32.4
220000,-2571819.766198106,300.61415223767557,1915.971953748189,1.0176186906999363,32.4
222000,-2571742.8799812216,300.0576311438043,1918.15189459634,1.016462187631567,32.4
224000,-2568648.3270455487,299.33594972994183,1917.264676013092,1.0169325578174462,32.4
226000,-2568255.7489444856,299.4421031516676,1918.2412555585188,1.0164148359030805,32.4
228000,-2571552.604939837,300.112804329735,1918.5279315765395,1.016262958125844,32.4
230000,-2571035.525365522,301.89460528191313,1917.6681406473215,1.0167186019646168,32.4
232000,-2569177.860966528,301.18448893356515,1913.015931949277,1.0191911308361898,32.4
234000,-2571159.0253773015,300.6582778945187,1915.099233406393,1.0180824246496314,32.4
236000,-2568396.8646010086,301.1872085282777,1913.6762451707305,1.018839459344955,32.4
238000,-2570759.5244978853,301.1844121988837,1917.0906165453312,1.01702488873714,32.4
240000,-2572002.9413863868,300.51444293428676,1915.3723272334512,1.0179372664359225,32.4
242000,-2574985.2680816315,299.3597964385893,1912.1076385738202,1.0196752691418935,32.4
244000,-2571935.5280344393,300.31404597280147,1918.5883143153098,1.0162309738068191,32.4
246000,-2572739.9695798475,301.4976011821273,1917.51763260922,1.0167984053100882,32.4
248000,-2573309.281883795,300.66766641720693,1914.1567795077472,1.018583687534953,32.4
250000,-2570871.2716434468,300.6665394995937,1917.2143804023174,1.0169592357125394,32.4
252000,-2571487.50305211,300.46724441987647,1918.9651075201152,1.0160314345218457,32.4
254000,-2572768.1788969785,300.0692624464062,1915.3718521611909,1.0179375189162738,32.4
256000,-2572513.0825161617,299.67596994821736,1913.4300448696508,1.0189705530226756,32.4
258000,-2573273.4229278024,300.64061059153676,1914.9999729997583,1.0181351950292048,32.5
