#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2804509.4342985544,300.1854443017168,2124.606484605684,1.0006513314943215,0
4000,-2807142.2185948696,300.42859628397827,2107.9983033931157,1.008535113287364,34.2
6000,-2812889.8722863644,299.1245102526087,2104.1458413660057,1.0103816313140916,33.8
8000,-2810862.8210504856,300.0871729463567,2102.996428471887,1.0109338650978918,33.9
10000,-2815286.1509124525,300.32466488847444,2101.487215339335,1.0116598817275484,33.7
12000,-2812213.871201273,300.7202343404903,2101.865218915725,1.0114779428239775,33.9
14000,-2816020.2575688045,300.6197036435495,2096.2557983397496,1.0141845806251064,33.8
16000,-2813388.9421895538,299.472093614144,2095.5159386134615,1.0145426567973754,33.7
18000,-2817925.772688411,301.12249019064546,2097.3071384367986,1.013676189223638,33.8
20000,-2815741.4059189297,299.70043790319977,2094.068863442544,1.0152437414245898,33.8
22000,-2816301.5198034123,301.35375026611945,2098.720146435091,1.0129937101587256,33.8
24000,-2817799.9744017366,299.87809518444504,2093.3339818982977,1.015600150815034,33.8
26000,-2817310.2649527825,300.45914513943063,2094.1924929679317,1.0151838070573689,33.7
28000,-2818239.3598994315,301.1009125203667,2095.4961560719826,1.014552234592177,33.7
30000,-2816820.09288875,300.635793170061,2091.820710354071,1.0163348594833888,33.7
32000,-2814484.353102021,299.99794351215496,2097.6835240595306,1.0134943061419655,33.7
34000,-2816525.867186567,299.9707795445137,2096.148769373551,1.0142363647011152,33.7
36000,-2815383.502749322,300.72356103968605,2095.7493279350238,1.0144296740950982,33.7
38000,-2818124.913710309,300.2638380539531,2100.7569319446507,1.012011563733905,33.7
40000,-2817159.4810291063,300.4847284758118,2097.902196961427,1.013388665497087,33.7
42000,-2812759.394076094,299.73594691113055,2103.860273215389,1.0105187757896754,33.7
44000,-2814209.686402088,299.074869576621,2102.167008649862,1.011332733781026,33.7
46000,-2812871.568667216,300.09755819217986,2098.936769697558,1.0128891629396188,33.7
48000,-2818270.5319340173,299.7166214031027,2095.1910348061974,1.014699983153946,33.7
50000,-2818136.951967515,300.5926971609415,2095.459173718282,1.0145701402283536,33.7
52000,-2819066.1829586457,299.7651928866318,2095.236275817519,1.0146780734276033,33.7
54000,-2815175.26094969,299.5551037790097,2096.2685025118344,1.0141784342867808,33.7
56000,-2817762.8524463456,301.5196706690469,2098.7242697430656,1.0129917199568188,33.7
58000,-2814995.160570981,301.05261916689386,2098.0503345949123,1.0133171128769078,33.7
60000,-2815854.716077218,300.4681773880689,2095.460608022045,1.0145694457739864,33.7
62000,-2816563.7726817913,300.8832820079115,2093.8805915518687,1.015335027364899,33.7
64000,-2816192.334778538,299.9697318982244,2096.044370791853,1.0142868812070904,33.7
66000,-2814867.8846697956,300.8622155462312,2106.036428693171,1.0094746124792144,33.6
68000,-2818213.0560396984,300.5627924762072,2098.610929172414,1.0130464290303347,33.6
70000,-2820591.138770638,300.040088415247,2092.505846707639,1.0160020871947346,33.6
72000,-2817922.900328392,300.4136308907578,2094.6949565171735,1.0149402905218277,33.6
74000,-2816693.205871068,300.8463521105692,2095.076629694141,1.0147553925187545,33.5
76000,-2819557.7995109353,300.9855812433381,2096.847011348141,1.0138986279000242,33.4
78000,-2817067.1852103155,299.8969266886662,2097.2724771247817,1.013692942100082,33.4
80000,-2816644.7702406123,299.9958457747395,2099.9258138381233,1.012412102233452,33.4
82000,-2819195.1856822185,300.4774469519506,2097.0762717332423,1.0137877846307455,33.4
84000,-2818195.7913629897,300.4774269403709,2098.2493700628606,1.0132209917729917,33.3
86000,-2816117.686650578,301.3429769153848,2097.6032371354627,1.0135330981970883,33.3
88000,-2818487.115387544,299.3373721600222,2095.7704556368867,1.0144194475134332,33.3
90000,-2819660.2263921797,299.7155114674238,2095.0698728221682,1.0147586652364615,33.3
92000,-2818241.266999623,300.5047636092753,2098.3711745867076,1.013162177154325,33.3
94000,-2817620.169222055,299.41276798343966,2092.537115464487,1.0159869050878145,33.3
96000,-2819146.156555934,299.4438002649619,2093.6405577788914,1.015451434499136,33.2
98000,-2817266.5864591524,300.70643545157486,2098.7231205633175,1.0129922746319726,33.2
100000,-2819537.641064374,300.5733405578441,2090.741254777779,1.016859596023093,33.2
102000,-2818055.392779736,300.2641703162506,2097.1105520225833,1.0137712128107457,33.1
104000,-2818970.015468845,299.93602301070405,2097.3166745098138,1.0136715802438536,33.1
106000,-2816295.618263157,300.9246544953938,2097.9749683260843,1.013353514612434,33.1
108000,-2819655.613347437,301.62189921901245,2094.9071333359666,1.0148374951288093,33.1
110000,-2819666.7489713337,299.364521219824,2097.1098391002533,1.0137715574470263,33.1
112000,-2820444.64221628,299.7185119257987,2091.4636499895937,1.0165083709356961,33.1
114000,-2818197.6573295835,300.51668114836787,2093.834730099171,1.0153572663404304,33.1
116000,-2820509.8807336334,299.75916007415555,2094.0139467481863,1.015270366763133,33.1
118000,-2818566.1449267436,300.7035143324178,2097.7649635506145,1.0134549602371845,33
120000,-2815630.6530259363,300.59464019803573,2093.830593082984,1.0153592724957805,33
122000,-2820261.6929750256,300.19501860851716,2094.127958870431,1.0152150916646479,33
124000,-2819967.3654564563,300.26785189373874,2095.650286159867,1.0144776166914167,33
126000,-2817230.2687032614,300.5147700068746,2093.5202174975516,1.015509804946335,33
128000,-2820877.4614216387,300.74452527918953,2093.816830086011,1.0153659466166456,33
130000,-2820269.197550919,300.7863280406067,2092.692110766563,1.0159116559881265,33
132000,-2819113.1450626496,300.2583719436762,2094.3861016013093,1.015089961729919,32.9
134000,-2815760.0201319344,301.4901695264381,2099.6146184377817,1.0125621573848584,32.9
136000,-2819805.616242191,300.47080812207633,2092.850764238392,1.0158346424169498,32.9
138000,-2819436.8365251534,300.089984139942,2097.185394123553,1.013735034432009,32.9
140000,-2817832.4605990965,301.10433251391805,2095.8699731455818,1.014371280166469,32.9
142000,-2817969.7849577945,300.8772870395725,2093.861914042981,1.0153440842797175,32.9
144000,-2820042.076453125,299.9951528987481,2092.481860662765,1.0160137335903923,32.9
146000,-2819106.7744548004,300.6328440918729,2091.376380705452,1.0165507879576507,32.8
148000,-2818508.8611557204,300.2245905413253,2094.19331609328,1.0151834080380815,32.8
150000,-2816871.048306154,300.62925432218253,2091.7772632109445,1.0163559692099744,32.8
152000,-2818304.1526600234,299.9524763465403,2090.8279797794426,1.0168174179237899,32.8
154000,-2819002.140287008,300.8456257415592,2092.620620517308,1.0159463626027874,32.8
156000,-2818337.453399552,300.52941546108866,2096.7691898043167,1.0139362587260055,32.8
158000,-2817568.3582541067,300.379584989965,2094.2873542312163,1.0151378240559392,32.8
160000,-2819754.990327757,301.11624842449345,2093.4838045890783,1.015527468166609,32.8
162000,-2820264.406604834,299.8780552962321,2096.474532061965,1.014078766619288,32.8
164000,-2817219.398919739,299.4547683920577,2097.9642221649096,1.0133587051967536,32.8
166000,-2818860.3713984583,299.88422958949945,2095.0031545098204,1.0147909816487015,32.8
168000,-2817696.3524491135,300.650421639165,2092.804948402918,1.015856881141529,32.8
170000,-2819186.5468823984,299.57884973263793,2096.0730390600643,1.0142730086712524,32.8
172000,-2819077.709610231,300.3609114198491,2097.397487928767,1.013632523142581,32.8
174000,-2818168.8282712456,299.7803188869374,2094.9725594746624,1.0148058016832748,32.8
176000,-2819110.2112981714,300.1675373300848,2097.3129846105676,1.013673363642911,32.7
178000,-2818896.024401117,299.4959448080562,2098.550744969572,1.0130754821241994,32.7
180000,-2815809.329214597,300.1224597646457,2098.527833677567,1.0130865426723712,32.7
182000,-2820757.228059247,300.90094229132876,2095.8612784834386,1.0143754882768337,32.7
184000,-2820990.2937550563,300.4441301527165,2096.232196926106,1.0141959992980156,32.7
186000,-2818576.345592698,301.50240795259487,2095.6233034480215,1.0144906788467953,32.7
188000,-2817753.7122295275,300.0624621182132,2094.4993975720495,1.015035053333795,32.7
190000,-2819181.1823044047,299.805378610142,2096.7784516456036,1.013931779990212,32.7
192000,-2821102.97163273,300.67060478169856,2094.9829456276475,1.014800770650288,32.7
194000,-2815021.613998644,299.9720769644853,2094.744955647685,1.0149160650752354,32.7
196000,-2819874.84989715,300.7731068070345,2089.354061094563,1.0175347239176835,32.7
198000,-2821301.3087803274,300.47088485962854,2092.683439497887,1.0159158655320806,32.7
200000,-2818112.9242996313,299.12756860913953,2092.154260021092,1.0161728264247176,32.7
202000,-2819550.8844871465,300.84521150379635,2092.6334904896157,1.0159401143984974,32.7
204000,-2819721.4703858905,300.3064066326277,2092.855161580513,1.0158325080253572,32.7
206000,-2820887.1577752773,300.12876517918363,2093.0804863824,1.0157231513808753,32.7
208000,-2821399.321301628,300.82669002440105,2098.6519531550603,1.013026626223556,32.7
210000,-2816634.0636218023,299.01673889672463,2098.407353450895,1.0131447091175558,32.7
212000,-2821466.2176722735,300.53754625993076,2093.084481461536,1.0157212126658326,32.7
214000,-2818214.7949626315,299.3419406971369,2096.1394467909677,1.0142408755185055,32.6
216000,-2819840.7151416577,300.38674808281706,2095.5220201017246,1.014539712457397,32.7
218000,-2818886.398257993,301.3946650002758,2100.0098011731907,1.0123716120441162,32.6
220000,-2819403.428539891,300.6864915878364,2093.531657863107,1.015504255566009,32.6
222000,-2818129.4519006554,300.1464114520921,2094.675028156846,1.014949946480651,32.6
224000,-2818840.9216296244,299.89870412889303,2093.2281931735342,1.0156514777774621,32.6
226000,-2821945.84495797,300.4682780366594,2095.8348844767083,1.0143882628678393,32.6
228000,-2818128.691025894,300.6784717546511,2096.4235416878455,1.0141034316045205,32.6
230000,-2821215.2669999916,300.1376579604971,2096.6884356746455,1.0139753105654312,32.6
232000,-2818058.5257149898,300.07028404064687,2095.1247373110823,1.0147320920140908,32.6
234000,-2822720.5135353263,300.32123492361006,2093.5845638273718,1.0154785932484773,32.6
236000,-2816989.1577406693,299.8944477015653,2096.779827855766,1.0139311145015413,32.6
238000,-2819281.6013900377,300.54621464526144,2095.2956581138396,1.0146493166677673,32.6
240000,-2817620.9383475427,300.00721371963374,2095.0805241109715,1.0147535062521245,32.6
242000,-2814769.4884904884,301.18598171332616,2096.1637632868537,1.0142291098423168,32.6
244000,-2819746.0019216407,300.9683758430871,2098.315678180373,1.013188973341596,32.6
246000,-2819646.3954435736,301.32470490156214,2094.0260837727437,1.015264482232148,32.6
248000,-2817907.9513711724,300.27853825995993,2100.136737000819,1.0123104225862214,32.6
250000,-2821034.1768662427,300.03795839443745,2096.6746492379016,1.0139819778404346,32.6
252000,-2818706.986398129,300.2244999570787,2094.3804721550414,1.015092690171323,32.6
254000,-2818445.2289043665,300.6358739139474,2095.67849662548,1.0144639605480879,32.6
256000,-2818743.7735759653,300.66884010009414,2094.9149265979095,1.0148337198468977,32.6
258000,-2819278.811842624,300.25004584577414,2094.258484454377,1.015151817936188,32.6
260000,-2817737.01618251,300.61703819246014,2095.123800785106,1.0147325456020662,32.6
262000,-2819860.2873475924,300.7325704329012,2094.9608381615853,1.014811479525217,32.6
264000,-2820305.877903471,298.2721456092649,2094.379136863989,1.0150933373531836,32.6
266000,-2820247.5584424473,300.99582939748854,2092.7302190510445,1.0158931563984317,32.6
268000,-2819694.307487428,300.9491563395548,2094.6191928257194,1.014977001549435,32.6
270000,-2819297.3682982046,301.2935737299279,2089.67137161629,1.0173802142285011,32.6
272000,-2820958.4334446453,301.0703561128025,2091.104362768177,1.0166830243268148,32.6
274000,-2817925.9013303947,299.96698481894504,2095.9932658338407,1.0143116117676898,32.6
276000,-2817879.3591088746,300.4961029801273,2094.008869828941,1.0152728282835872,32.6
278000,-2820379.3878148496,300.7832173399131,2093.5522977987516,1.0154942439018608,32.6
280000,-2819051.8166361935,299.5019785344226,2093.76949315415,1.0153889024906262,32.6
282000,-2817192.159301739,299.80678118625553,2091.8057452707576,1.0163421304911677,32.6
284000,-2820654.9143486675,300.25212903438114,2093.9667985222554,1.0152932268183483,32.6
286000,-2822049.625079952,300.97449719441556,2091.921130089454,1.0162860717560782,32.6
288000,-2819723.70468417,300.32156476856306,2092.8120348283046,1.0158534413706026,32.6
290000,-2821775.065649843,300.462437101968,2095.587058380026,1.0145082253779634,32.6
292000,-2820234.4972270504,300.9191539996666,2093.0775500852324,1.0157245762994183,32.6
294000,-2822513.376982162,300.323263754207,2091.5760882093587,1.0164537258322985,32.6
296000,-2818743.856390726,299.3599508004804,2094.8877913062806,1.0148468650898348,32.6
298000,-2818872.328905605,299.7140271399356,2091.906655845717,1.0162931036053569,32.6
300000,-2816909.517479848,299.51513582626495,2094.326496504128,1.015118851464121,32.6
