#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2658655.3932060376,298.6346179792916,2038.925255124484,0.9927235640263804,0
4000,-2665945.76793145,300.46309899461926,2013.023113571337,1.0054972207743833,36.2
6000,-2669172.1743158996,300.5201415901707,1999.7398204067524,1.0121762468273847,35.9
8000,-2671290.5193460565,300.03243173234563,1996.2282501241866,1.0139567686834685,35.6
10000,-2672059.1300173886,300.92240870452804,1993.2552141582157,1.0154691339439845,35.1
12000,-2670740.5615765713,299.4191953528766,1996.0901038537118,1.014026943043707,35.1
14000,-2672765.4901535455,300.09197612152366,1995.5625505285448,1.0142950144632021,35
16000,-2673652.46135878,299.06423221345153,1994.0893775659013,1.0150443449637614,34.9
18000,-2671682.4216401298,300.69319628726197,1995.4450410748552,1.0143547451250725,34.9
20000,-2672428.8400332555,300.3839251653672,1993.4451507858364,1.0153723794470384,34.9
22000,-2671371.418710187,299.84875380735895,1993.0356778310825,1.0155809896254773,34.9
24000,-2674790.3912431244,299.5536283654174,1991.4230538793313,1.0164033915885473,34.8
26000,-2672457.930081222,300.25115422640573,1990.747806152789,1.016748148507178,34.8
28000,-2671899.2288297936,300.79285278662445,1992.2523462583226,1.0159803048303822,34.8
30000,-2673879.7252918854,300.1358005419047,1993.5570002977079,1.0153154114722116,34.8
32000,-2672166.0260327794,299.9511944296919,1995.3680542582927,1.0143938817357474,34.8
34000,-2673293.821598286,300.2807214391808,1992.163072320226,1.0160258335143044,34.8
36000,-2671136.2268891484,300.5071160917138,1992.2347570536683,1.0159892748001325,34.8
38000,-2673296.25650426,300.4654231903809,1995.6282400135015,1.0142616272241571,34.8
40000,-2672583.9900642764,301.0135340409842,1995.0052275525857,1.0145783670620594,34.7
42000,-2675114.5189770367,300.6994205683721,1992.7900846137773,1.0157061507272922,34.7
44000,-2675153.102013154,301.11027422536995,1992.4231470524758,1.0158932097556408,34.7
46000,-2673399.536747316,300.27626015575515,1992.4688881303625,1.0158698879107133,34.7
48000,-2673194.5426937845,299.2371205772003,1991.8730366965708,1.0161737765211345,34.7
50000,-2670846.123592641,302.01676007100224,1994.8676257381844,1.0146483505649038,34.7
52000,-2672967.538701391,300.39383083798015,1996.8419967910513,1.0136451202966035,34.7
54000,-2671600.415594876,300.77668793369503,1995.5883241269403,1.0142819145507396,34.6
56000,-2673049.1076659113,300.90804365014816,1990.9326820613765,1.0166537343466926,34.6
58000,-2676094.286030626,299.6516848543903,1991.4462469313517,1.016391554213187,34.6
60000,-2674538.7071743924,299.72962540828905,1990.9996816736184,1.0166195226857806,34.5
62000,-2677768.338503085,299.6232665807367,1992.5373178859493,1.0158349998674563,34.5
64000,-2675676.510215085,301.79660177256517,1988.7077658533724,1.017791140963348,34.5
66000,-2671204.6727829073,299.8375456162064,1994.4345935880954,1.0148686512748104,34.5
68000,-2675447.9583636783,298.6973392661085,1995.2767499541405,1.014440300623508,34.5
70000,-2675284.9148610365,300.9925208753101,1989.1132450406053,1.0175836650312262,34.5
72000,-2674998.973888714,301.0511506348489,1988.8344878055266,1.0177262906798985,34.4
74000,-2673354.7085564286,299.98356118077544,1992.8887920989016,1.0156558429528892,34.5
76000,-2674062.480369784,298.90875761966004,1991.901616236131,1.0161591965948924,34.4
78000,-2676200.737719409,299.85285558941735,1993.004851374776,1.0155966979480038,34.4
80000,-2679367.289988864,300.85640591521354,1993.193775395078,1.0155004350489572,34.4
82000,-2673594.4230779056,299.9957960492571,1990.466748099875,1.0168917154646244,34.4
84000,-2672728.86160196,298.8397512487448,1992.1426604260748,1.0160362439192316,34.4
86000,-2675785.3228594474,300.39193302718087,1991.6169731389866,1.0163044266791967,34.4
88000,-2672602.534785008,300.0237710020545,1995.3475768556864,1.014404292028249,34.4
90000,-2673168.878757337,300.73496761607123,1990.2319106531108,1.0170117036191795,34.4
92000,-2672996.239826286,299.65932008910715,1995.9574694928613,1.01409432665159,34.4
94000,-2675368.7903062776,301.222135937047,1992.7355294238982,1.015733957749898,34.3
96000,-2673063.9237195514,300.47280870637167,1995.7103131506854,1.0142199159431546,34.3
98000,-2671562.3366516773,299.90457159051823,1992.3658649051654,1.0159224175158812,34.3
100000,-2676112.5733572748,300.99384821723055,1990.730734323249,1.0167568677934067,34.3
102000,-2675577.040886633,299.9020031609158,1995.6157962538737,1.0142679517020015,34.3
104000,-2674723.178356508,300.8515647238072,1992.16227940336,1.016026237911089,34.2
106000,-2672897.2404679656,300.77237853262426,1993.6633345272824,1.0152612585065706,34.2
108000,-2674015.6448402572,300.49300269182794,1988.3523026334951,1.0179730942900551,34.2
110000,-2674834.4184754007,299.3004457688154,1991.6858042586873,1.0162693039848965,34.1
112000,-2674958.169518359,300.8709339251214,1990.3149520922166,1.0169692710808684,34.1
114000,-2675838.604778832,300.1336089853478,1989.5491945299648,1.0173606923696954,34.1
116000,-2675770.0992469173,300.39474379492407,1992.0229447467811,1.0160973051983946,34.1
118000,-2672814.551401647,301.18101934274387,1992.124426067172,1.01604554392544,34.1
120000,-2673459.6588663813,298.9248485101578,1989.3780649321466,1.0174482074223596,34
122000,-2678392.778446097,300.5781736868795,1989.5310848496695,1.0173699528818956,34
124000,-2677316.9909298737,299.67892054525856,1993.0592529538958,1.015568976712905,34
126000,-2678982.841399947,300.85221396904154,1991.064966318786,1.0165861889443246,34
128000,-2673034.724511383,299.9815087981833,1992.6072023930283,1.0157993726107877,34
130000,-2674592.8554425966,300.92463036763786,1991.5679150204032,1.0163294612174139,34
132000,-2676599.5191830993,299.39883338747086,1990.802091605918,1.0167204236850111,33.9
134000,-2675739.497452287,299.89010126050016,1993.5285415049223,1.0153299056970522,33.9
136000,-2678449.1120183375,301.1154263273236,1991.3941524038296,1.0164181428409231,33.9
138000,-2676856.7810866386,300.0508006221662,1993.783703951327,1.0151999647901564,33.9
140000,-2676231.7324263807,300.0566780291019,1991.3269483671947,1.0164524452954566,33.9
142000,-2674526.5015394744,299.81649791228335,1990.3226890034457,1.0169653178520695,33.9
144000,-2674463.3287576754,299.9357540925168,1993.635512038098,1.0152754271423186,33.9
146000,-2673036.6376783513,299.5393185309763,1993.1406611154248,1.015527496648345,33.8
148000,-2671838.3448141925,300.4912847041786,1995.7080396428555,1.0142210713410755,33.8
150000,-2676410.8028853275,300.37606284416967,1991.2101891667523,1.0165120473281533,33.8
152000,-2673747.239636712,300.13305133511096,1991.8799394690736,1.0161702550155138,33.8
154000,-2675371.6865070164,299.0982760104645,1990.177897838642,1.0170393050032165,33.8
156000,-2673725.4587077014,300.7843753117856,1996.1250166908146,1.0140092074023097,33.8
158000,-2673913.259404607,298.95230742303835,1996.199845542559,1.013971196606538,33.8
160000,-2676663.3819646277,300.5997308837752,1987.61459300099,1.0183509183208974,33.8
162000,-2673602.0677237883,301.8769848137088,1992.8852444205074,1.0156576509949227,33.8
164000,-2674546.692370869,300.0120634060749,1992.8471189659424,1.0156770816924698,33.7
166000,-2675729.6701702904,300.8391487731469,1994.519840677681,1.0148252751212778,33.7
168000,-2674380.191144973,300.7943575871718,1996.7731063339131,1.0136800919593785,33.7
170000,-2671477.121279603,300.1985677079654,2001.7406115122012,1.0111645506964515,33.7
172000,-2675093.9505060744,300.66633100684624,1995.1547730462687,1.0145023200180745,33.7
174000,-2672036.2383466456,300.3241825872872,1996.7574851357513,1.0136880222652405,33.7
176000,-2675512.6775370464,300.0114199087895,1992.0515302468948,1.0160827244261645,33.7
178000,-2678242.9177375194,301.41994614022616,1992.0267990402322,1.0160953391921186,33.7
180000,-2678281.374997113,300.83754713401015,1992.108426385027,1.0160537043275206,33.6
182000,-2678799.474629296,300.346777128521,1991.1125418700367,1.0165618986808083,33.6
184000,-2675682.9616677053,298.8338649629912,1991.426610926024,1.01640157610898,33.6
186000,-2676800.2243425474,300.0402767733494,1986.5484180646747,1.018897464388244,33.6
188000,-2674942.1619474404,299.71605934534927,1990.738663958701,1.0167528177835028,33.6
190000,-2677210.074455334,300.66524790691983,1991.1104245820095,1.0165629796627118,33.6
192000,-2677811.346158242,299.9998365927393,1991.816012961028,1.0162028685779916,33.6
194000,-2676598.814553231,299.17221432975384,1991.740983546172,1.0162411492114847,33.6
196000,-2674680.564983012,300.5302469902272,1992.7639713612084,1.015719460578148,33.5
198000,-2677127.025450105,301.1986555903785,1989.8550328019585,1.0172043252821341,33.5
200000,-2676395.984994665,302.3193616588011,1992.4207361070987,1.0158944390457165,33.5
202000,-2677427.162707329,300.2208641515497,1991.5806290841294,1.0163229730655672,33.5
204000,-2674560.5710065234,299.598219318625,1993.0780483972667,1.0155593995319179,33.5
206000,-2674969.910150867,299.82071427436847,1996.1540030374151,1.0139944828758967,33.5
208000,-2674410.3586409763,300.4183707814371,1988.4647057778564,1.0179155507106588,33.5
210000,-2675387.483102668,300.5577567668256,1989.5474994758185,1.0173615591403857,33.5
212000,-2675836.526013192,300.4542450160532,1990.652232657005,1.0167969637513932,33.5
