#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2659685.9679127317,300.3190248597807,2027.9872242906163,0.9976205542560982,0
4000,-2660555.4542667866,300.890070881083,2004.1157678191357,1.0095034284983848,63.7
6000,-2668417.1220613346,300.0557759610607,1996.4365446439838,1.0133864480435428,63.4
8000,-2670165.139883602,299.8153853681329,1998.3203257767943,1.0124311466104114,63.5
10000,-2671783.0280093793,299.40591675496114,1992.2724988567038,1.0155045255516568,63.3
12000,-2670730.6414956097,300.1799031338897,1993.2976728803549,1.0149822408599822,63.2
14000,-2671275.1673625503,299.83242900452666,1993.3749661141683,1.014942884862745,63
16000,-2671200.495860353,299.50770720923316,1992.5883850066152,1.0153435370518702,62.9
18000,-2670290.6883279327,301.4801401307386,1991.9938149333948,1.0156465966681416,62.9
20000,-2671320.633397877,300.21739961090043,1992.8963456555543,1.0151866368421587,62.7
22000,-2672051.9692106005,299.7463792198462,1994.3969569901828,1.014422796640403,62.7
24000,-2670716.5250551477,300.14420423441686,1994.4823057053377,1.0143793870387887,62.6
26000,-2671515.8882466145,299.10083057642885,1991.9394173663165,1.0156743328047872,62.3
28000,-2673607.4530589525,300.28985519969234,1990.0693361485846,1.0166287686420765,62.3
30000,-2670813.769803142,300.9452012547603,1991.5978248896463,1.0158485380115303,62.2
32000,-2672761.8276673798,300.7423924922611,1991.2783279320822,1.0160115290473326,62.2
34000,-2674542.122634286,300.34897493642427,1992.0211508530065,1.0156326592489993,62.2
36000,-2673810.4040118475,300.73953822620774,1994.687470332981,1.0142750525140443,62.2
38000,-2672615.5884652473,300.1569064816466,1993.7706711238523,1.0147414484639155,62.1
40000,-2671826.06982876,301.50431543383206,1993.7675458148642,1.0147430391110177,62.1
42000,-2671906.4570337497,299.5515051440284,1993.4746512562522,1.014892131909543,62
44000,-2672307.969548229,300.8759207794097,1992.848541640735,1.0152109889170995,62
46000,-2673321.240136709,300.66041922509595,1992.0026072894784,1.0156421137791634,61.9
48000,-2673946.1209404934,300.1996650033366,1990.3963133278146,1.0164617594867298,61.9
50000,-2673976.1929813568,300.6992822254223,1992.0050366013663,1.015640875172124,61.8
52000,-2675409.7179721817,299.26848120100675,1990.5381858731503,1.0163893127393735,61.8
54000,-2674411.131975932,300.5668566189944,1989.3831194050838,1.016979444022883,61.8
56000,-2672683.5594962314,301.199545710169,1993.9705655821995,1.014639721188847,61.9
58000,-2672564.8470586836,300.0292215459181,1992.3836998691957,1.015447847146067,61.8
60000,-2674177.506475825,299.6397488012757,1988.625979854946,1.0173666437107813,61.8
62000,-2672794.500018399,300.633522757205,1992.9477892274779,1.0151604320278378,61.8
64000,-2673568.145488726,300.46794327463016,1991.41524472621,1.0159416746853545,61.8
66000,-2672724.363118537,300.5639492311008,1990.7746310697348,1.0162685957244455,61.7
68000,-2671360.513965264,299.9460249115778,1990.5961093646808,1.0163597372682514,61.7
70000,-2670851.2525019385,300.70018002220934,1996.0803997281625,1.0135672586117352,61.7
72000,-2672115.061786566,301.10130170924356,1990.052761959372,1.0166372356525462,61.7
74000,-2674972.5900121126,300.91252649312133,1993.080948257162,1.0150926085015426,61.7
76000,-2673101.036863541,300.0883604493157,1992.012175922737,1.0156372351408567,61.6
78000,-2675278.946166817,301.6870879150263,1993.9472589583604,1.0146515809941692,61.6
80000,-2674428.944278732,301.2915334431844,1993.6104525138405,1.014822999232366,61.6
82000,-2675522.8369441535,299.4627417324709,1989.6292215018132,1.016853651352168,61.6
84000,-2674431.6148977615,300.1990066987347,1992.5833265208717,1.015346114660916,61.6
86000,-2669651.7557980064,300.5207093753542,1992.9475028283389,1.0151605779128012,61.5
88000,-2672193.6921959,300.99542742925746,1993.9305309384504,1.0146600933829337,61.5
90000,-2671858.7965397723,299.82702680902304,1993.3277276626286,1.0149669372699919,61.4
92000,-2672987.0810346752,300.99886546317373,1992.7998526045442,1.0152357930360463,61.3
94000,-2670989.131042009,302.33041972869967,1992.0085307182887,1.0156390936697286,61.2
96000,-2676560.5573532656,300.38620064526333,1990.3625270442785,1.01647901386363,61
98000,-2672110.1930284835,299.83617269470216,1994.016487222796,1.0146163543205637,60.9
100000,-2674731.535694668,298.9762659239921,1993.2379856398834,1.015012634365184,60.9
102000,-2674987.4719779063,299.98677146077665,1990.8247654931145,1.0162430032961571,60.9
104000,-2669933.1613137014,301.0141606272393,1990.3907525303662,1.016464599299943,60.9
106000,-2671993.613300143,299.8885781489979,1989.6805606568262,1.0168274137699833,60.8
108000,-2674239.185305821,301.16725788016225,1993.5747755259283,1.0148411604913876,60.8
110000,-2673008.136702301,300.8296914314293,1988.773250932708,1.0172913064736038,60.8
112000,-2676194.884348929,300.0260455936625,1985.9006569915575,1.0187628125295956,60.8
114000,-2674316.4501968455,300.23001259517,1993.1118828858248,1.015076853483888,60.8
116000,-2673774.9609889537,300.881388977075,1991.453545074886,1.0159221357307695,60.8
118000,-2675125.5626947656,301.1079019264233,1989.8549521631153,1.0167382986994948,60.7
120000,-2675636.1758451536,300.42502376972664,1993.1890756771863,1.0150375412998491,60.7
122000,-2672445.4915400427,300.9265921136505,1994.2249009466582,1.0145103181495208,60.7
124000,-2674063.208255416,300.7830939408739,1991.7181555013249,1.0157871650328212,60.7
126000,-2672994.431780234,300.2558688851513,1991.1151925876222,1.0160947725439338,60.7
128000,-2674069.4620552678,300.300268903332,1990.8042305234753,1.0162534857528944,60.6
130000,-2673807.6043236386,300.5263727457169,1991.9493709989754,1.0156692575506885,60.7
132000,-2674109.2934520133,300.7766485210522,1991.4522865725987,1.0159227777448114,60.6
134000,-2672156.8637845535,299.28543258737903,1993.6717705938406,1.0147917869742753,60.6
136000,-2674616.5701503977,301.1237166184216,1994.8570646000226,1.0141888231609935,60.6
138000,-2674818.1495082527,300.72604930308097,1991.251266549805,1.0160253367856362,60.5
140000,-2670718.5140680596,300.0726872402527,1993.646985953641,1.014804402672789,60.5
142000,-2675068.6892548837,299.61279533011873,1988.460818409236,1.0174511461279963,60.4
144000,-2673515.123821657,299.78823535698655,1989.8765937826875,1.0167272407959378,60.4
146000,-2674138.5980915036,300.5334515087163,1991.9908918282092,1.015648087057403,60.3
148000,-2673439.7098787595,300.91159005501106,1991.7930633885696,1.0157489630369303,60.3
150000,-2676048.713861864,300.91681159687556,1991.7841042412977,1.0157535319279722,60.2
152000,-2674667.46174418,301.39913880954174,1989.0693250208537,1.0171398820902733,60.2
154000,-2675985.731197264,300.0954652432621,1994.9197551571037,1.0141569521736291,60.1
156000,-2673983.222271364,300.07289130019825,1993.520719414385,1.014868678824373,60.1
158000,-2675325.073396785,300.46153843437185,1989.6991411566678,1.0168179182833492,60.1
160000,-2672510.189831158,300.3743550201475,1990.0618251719238,1.0166326056459614,60.1
162000,-2676930.8694672044,299.4963969780038,1990.6813044989483,1.0163162401479011,60
164000,-2675166.7192943227,300.5963160509108,1991.2030581037047,1.0160499354836372,60
166000,-2674858.2968982235,299.8297221260209,1991.275869792629,1.0160127832673342,60
168000,-2672684.034807181,300.554141901987,1992.1180987968671,1.015583232712444,60
170000,-2673759.032465186,300.79508552988193,1995.5709207286677,1.0138260272816304,60
172000,-2675694.244849585,299.5464893411943,1988.9363961239396,1.0172078617817288,60
174000,-2675915.1655219328,299.71600167082596,1988.085208705285,1.0176433735647823,60
176000,-2675376.665261725,299.99991458351764,1989.6946664703105,1.0168202050368613,60
178000,-2677668.016220793,300.2777225055921,1987.4847064646474,1.0179508461828146,60
180000,-2671482.8529935014,301.2952812873912,1992.3750340458844,1.0154522638304135,59.9
182000,-2675995.139624169,300.0509934426666,1988.4023837703241,1.0174810467109063,59.9
184000,-2677346.9123940915,300.2371612249327,1990.0046768494117,1.0166618009783641,59.9
186000,-2677750.818923436,299.82496765829507,1985.5210781391377,1.0189575728993168,59.9
188000,-2673839.3318300154,300.0723465172932,1988.6585106268064,1.0173500014758237,59.9
190000,-2674546.6837304663,299.97028945864145,1988.2108105316536,1.0175790856806028,59.9
192000,-2675864.4397158194,300.29948842360614,1990.41143935707,1.0164540349379219,59.9
194000,-2675580.925771283,301.6774266279246,1990.218800486984,1.016552420380134,59.9
196000,-2675418.9814920947,301.16448821848843,1990.2079230295822,1.0165579763351282,59.8
198000,-2673436.75315159,300.4997464637173,1988.897661189217,1.0172276724944138,59.8
200000,-2673238.5891184937,300.6623772143481,1990.41844023531,1.016450459774634,59.8
202000,-2675419.578387387,301.40013024710584,1988.5282266334646,1.0174166560090825,59.8
204000,-2674170.0420439187,299.05859386631766,1989.6134454913222,1.0168617141715606,59.8
206000,-2674266.2889521234,300.1573019468641,1989.65081919157,1.0168426133903918,59.8
208000,-2672048.8748598266,300.48074657938406,1991.8955258369265,1.015696713245554,59.8
210000,-2674136.2704136,299.9779912936063,1988.853400400827,1.0172503103111317,59.8
212000,-2674970.866423752,300.592533789125,1989.2486351537784,1.0170481974791907,59.8
214000,-2673035.7603195664,299.9656625025763,1991.1288395432694,1.0160878083535614,59.8
216000,-2671398.907809103,300.2747151174902,1994.0972071012172,1.014575283249167,59.8
218000,-2672565.3139359653,300.9328581916239,1989.0680394574208,1.0171405394824855,59.8
220000,-2672863.3653279524,299.88042945384535,1990.349517440809,1.0164856579172443,59.8
222000,-2674387.886328304,300.494788021339,1991.3319760913234,1.0159841568417156,59.8
224000,-2675901.3277584556,300.2997443394457,1991.575856549736,1.0158597434626842,59.8
226000,-2670057.091832757,299.78702375767745,1993.94170523845,1.0146544071002048,59.8
228000,-2675246.390844913,302.5414977376221,1988.419437700745,1.0174723201562135,59.8
230000,-2674813.860107975,299.4993620867111,1990.454554618731,1.016432017514022,59.8
232000,-2678040.3244096655,299.19021178031113,1990.881842547619,1.0162138683891782,59.8
234000,-2674947.8788525667,299.47699730277975,1987.8198320615177,1.0177792303354376,59.8
236000,-2673456.145461172,300.0743240189972,1991.544051691756,1.0158759666915107,59.8
238000,-2672792.6702237,299.9361245367975,1990.111856711574,1.016607047437086,59.8
240000,-2673491.490492996,300.35670689140056,1995.000909707991,1.0141156973292917,59.8
242000,-2672629.029525811,300.7401390983221,1992.2907676520417,1.0154952136356237,59.8
244000,-2671837.5769590754,299.9518639420689,1993.4407728047597,1.0149093799634257,59.7
246000,-2674447.670412373,301.1234872239613,1994.092886585336,1.0145774814860966,59.7
248000,-2674378.421811942,301.30531989798294,1990.0419446895241,1.01664276178698,59.7
250000,-2675277.724686917,299.4933721007369,1990.7397356452514,1.0162864097678397,59.7
252000,-2674033.9540067837,300.1052077576193,1992.404363818769,1.0154373155674934,59.7
254000,-2673477.705961501,300.4197059493903,1988.885219201969,1.0172340360259076,59.7
256000,-2672991.4649736993,300.1326698712978,1989.309783208079,1.0170169351192855,59.7
258000,-2674483.4809234515,300.8921345799593,1990.1151086077787,1.016605386276591,59.7
260000,-2676060.3260379527,300.8038841920311,1989.9285290357598,1.016700705176298,59.6
262000,-2672324.257439373,300.3896621740984,1993.645012023545,1.0148054074419128,59.6
264000,-2671793.2172535136,299.70074996811087,1991.36255263136,1.0159685568294492,59.6
266000,-2673702.540719554,299.9417083905925,1992.20013915761,1.0155414102001683,59.6
268000,-2674487.916663673,299.92368402769904,1992.6303377959148,1.0153221600344333,59.6
270000,-2674105.966067491,300.8654245773537,1991.176128324958,1.0160636771107938,59.6
272000,-2675124.730032688,299.56210955526956,1989.096283630686,1.0171260965950957,59.6
274000,-2676859.608518293,299.710980699928,1987.926901449775,1.017724412927668,59.5
276000,-2673728.272443954,300.36282475139495,1988.8257337402604,1.0172644613343054,59.5
278000,-2673809.690617863,300.6795050721828,1992.823705064964,1.0152236414987534,59.5
280000,-2677802.851025721,300.5399782410836,1988.9452102572438,1.0172033539623855,59.5
282000,-2675941.7353242803,300.86341856818024,1989.5631650772568,1.0168874123896081,59.5
284000,-2674885.324460637,298.5348604869595,1988.6637947747852,1.0173472982396263,59.4
286000,-2675155.480477201,299.35896211653034,1989.7258009206826,1.0168042942323694,59.4
288000,-2673636.666879438,299.7378907588907,1989.9605280266717,1.0166843564115027,59.4
290000,-2677313.8148837406,301.2792518631454,1988.9132420829064,1.0172197036620447,59.4
292000,-2675645.404856939,299.40335835328636,1994.4307325780617,1.0144056174394636,59.3
294000,-2675780.3217893746,299.96905778683055,1988.9020795369772,1.0172254127222236,59.3
296000,-2675523.4897800833,299.2254432558272,1992.500966021242,1.0153880842331906,48.9
298000,-2673432.8722277842,301.1253805730562,1991.098648478548,1.0161032153113272,49
300000,-2677127.8280989956,299.57410071400045,1988.6234019453243,1.0173679625523766,49
302000,-2673564.9577199016,300.62071421100035,1991.6908008578023,1.0158011162424079,49.1
304000,-2674228.90592953,301.03320973447956,1991.3975518405084,1.0159507009794326,49.1
306000,-2674352.8376972936,299.77265237994897,1990.260815903931,1.0165309604420951,49.2
308000,-2674444.1753131114,300.8165828210384,1988.654983537346,1.0173518058534041,49.2
310000,-2674581.460646419,300.4923029827415,1991.6307122749233,1.0158317635151102,49.3
312000,-2675008.4495708887,300.5336867255696,1989.6543200083565,1.016840824245587,49.3
314000,-2675731.596611999,300.2355068873885,1991.330883442539,1.0159847143150431,49.4
316000,-2676279.5684096273,301.94316365422713,1989.5927630096269,1.0168722847889153,49.4
318000,-2674074.066493474,300.05117822350854,1992.5859481175355,1.0153447787948324,49.5
320000,-2673372.4961133804,300.66691092153036,1986.6311052282028,1.0183882319152007,49.5
322000,-2673591.2281656973,301.5249455176066,1993.329820870306,1.0149658714470844,49.6
324000,-2673872.8302176464,300.92299662785547,1993.146355704442,1.0150592970409542,49.6
326000,-2675462.5548234954,300.44645458238847,1992.9704646744806,1.0151488818232643,49.7
328000,-2672227.3299842943,299.2937062586873,1991.1849732831317,1.0160591636975014,49.7
330000,-2676797.943164721,301.0986866412635,1989.467820450034,1.0169361464029285,49.8
332000,-2674881.9373252615,300.73671381873646,1991.9623478702258,1.0156626408547444,49.8
334000,-2675563.0692382604,301.8344928009645,1990.5078485276485,1.0164048035367435,49.8
336000,-2673095.0614061225,299.431094800286,1989.7188258142537,1.0168078587149876,49.9
338000,-2674630.9580365308,299.8202947339485,1989.1597185922985,1.0170936601073215,49.9
340000,-2674442.686888572,300.42328108474254,1991.48644294742,1.015905353453871,50
342000,-2677141.571202498,300.323604716021,1987.7620606330463,1.017808810616282,50
344000,-2676820.4689577986,300.3001507748938,1988.726832102072,1.0173150510483238,50.1
346000,-2672090.6132935137,300.10303119837664,1991.7934963395612,1.0157487422462101,50.1
348000,-2676308.230108043,300.2521485462293,1990.1896722299953,1.0165672985601168,50.1
350000,-2673271.2125749514,299.72116371485123,1995.6606742923504,1.0137804311038456,50.2
352000,-2677012.8908717074,300.9433471752265,1989.2032642772842,1.0170713948914336,50.2
354000,-2673833.495057434,301.07255374161895,1990.8134977452867,1.0162487551005859,50.3
356000,-2674308.358031815,299.9674195951706,1989.029499723534,1.0171602477501218,50.3
358000,-2675145.640528366,299.7098699900817,1992.5913489763825,1.0153420267333855,50.3
360000,-2675103.917871954,299.25953045053495,1990.0717226979914,1.0166275494725578,50.4
362000,-2673124.6957902703,301.22392330495126,1992.5327593642808,1.0153718824510478,50.4
364000,-2671872.0071807355,299.75509078933834,1989.4550923691,1.0169426525289655,50.5
366000,-2673230.0084594507,300.6979560308158,1991.5154706151318,1.0158905459550278,50.5
368000,-2671606.1673193276,298.6102142762498,1994.978009921154,1.014127338075797,50.5
370000,-2674921.9477472696,299.0627594827192,1989.7236454073313,1.0168053957598286,50.5
372000,-2676578.3920574896,299.7107368446562,1986.8890570038657,1.018256017662064,50.6
374000,-2674622.2848190293,300.5011649846447,1988.2804243933488,1.0175434581057068,50.6
376000,-2677757.740087008,300.7993924817909,1988.8044925490647,1.0172753261070877,50.6
378000,-2675418.2898593973,300.5388964641338,1989.7846131736103,1.0167742404512041,50.7
380000,-2677222.4097155742,300.02162121877257,1986.246720505674,1.01858531361402,50.7
382000,-2675015.5841482226,300.6907049078908,1991.3876396739017,1.0159557578917142,50.7
384000,-2674704.4231951516,299.9028047352741,1991.403264027378,1.0159477868031033,50.8
386000,-2675137.8082568794,299.69452955945786,1989.7960966149192,1.0167683724794383,50.8
388000,-2674749.2494096346,299.15570611496076,1989.4033139479757,1.0169691206083904,50.8
390000,-2673091.196119711,300.11787373810813,1990.7506479220806,1.0162808390055482,50.9
392000,-2674000.6877635624,300.94536169917654,1990.6828036899028,1.0163154747561918,50.9
394000,-2675125.2430390604,300.24957824059805,1992.4909173282833,1.0153932051213228,50.9
396000,-2674096.825749619,300.68337057182885,1993.4308006186768,1.014914457072293,50.9
398000,-2674035.566505255,300.623527408024,1995.2430243005583,1.0139926385309976,51
400000,-2674467.53685976,300.40488426670333,1988.2729811565487,1.0175472673497015,51
402000,-2675661.691477116,300.98254806606246,1988.7440982855137,1.017306218766531,51
404000,-2674390.2924768217,299.85062300558917,1986.673315876782,1.0183665943226328,51
406000,-2675715.505029749,300.288505252858,1987.7756891655283,1.0178018323437779,51.1
408000,-2669806.31297897,299.38455712364106,1991.9413673146328,1.015673338542362,51.1
410000,-2673438.1998842787,301.2466511069924,1992.4634880508793,1.015407183546556,51.1
412000,-2676709.75368434,300.5806481279742,1988.4415008653177,1.0174610305813188,51.1
414000,-2676939.124018455,299.8533250595101,1990.1504622246905,1.0165873270001398,51.2
416000,-2675016.815506164,301.53447150756665,1989.9110822398711,1.0167096192277052,51.2
418000,-2674939.620595472,300.82280554180085,1990.6030816047564,1.0163561773902643,51.2
420000,-2674395.9444430023,300.4966015340434,1994.645983605691,1.0142961484643265,51.2
422000,-2673983.727502797,301.1249947122301,1991.2184975221871,1.0160420572823388,51.3
424000,-2674250.3949178346,300.7983460391475,1994.025045978328,1.0146119993836222,51.3
426000,-2671875.7430298477,299.97876304940445,1994.0722062571945,1.0145880035700894,47
428000,-2674222.6581762247,301.02681270462284,1992.0759837259159,1.0156047034596707,47
430000,-2672048.8019554913,300.97636754984524,1992.1948422633832,1.0155441103454144,47
432000,-2673625.0572938602,299.52973636780064,1994.6885231044903,1.0142745171924312,47.1
434000,-2672784.2998933215,300.21436513831867,1989.7193896856845,1.0168075705593285,47.1
436000,-2675018.477338802,300.54548979591067,1990.9568459059578,1.0161755855639747,47.2
438000,-2674028.1536744684,299.5916616427785,1993.6883775767624,1.0147833339832937,47.2
440000,-2675138.2447294164,300.6171318994491,1992.0042923116218,1.015641254654784,47.3
442000,-2676065.9496351946,300.5693212035362,1989.6203834506493,1.0168581682965419,47.3
444000,-2674577.0305856317,300.7616306211657,1989.4342691498198,1.016953296770988,47.4
446000,-2673289.7828601934,300.31379853399454,1989.8862897715132,1.0167222866555847,47.4
448000,-2675793.5895714443,299.8395532007143,1991.6235526396326,1.0158354153020825,47.5
450000,-2675478.6100674327,300.59799259812445,1988.9622722111642,1.0171946280669801,47.5
452000,-2674306.018271733,299.7236516648847,1989.1434058780771,1.0171020011641627,47.6
454000,-2677238.638273377,300.04384655649926,1988.5868914276173,1.0173866414600832,47.6
456000,-2676069.771855235,299.8795287775099,1991.2999626019478,1.016000490492407,47.6
458000,-2671555.7105816603,300.26108032575377,1995.46099544465,1.0138818765887567,47.7
460000,-2675692.714978665,301.6424317302179,1988.0420288541557,1.0176654765629762,47.7
462000,-2671980.0200781673,300.96429816463507,1993.7751579869234,1.014739164853392,47.7
464000,-2674117.651376238,300.6070549812889,1993.0512589547661,1.0151077297340139,47.8
466000,-2673601.7303973045,299.4180868053764,1995.3418185252924,1.0139424332901315,43
468000,-2672418.090716753,300.0775851367327,1991.9759096999683,1.0156557259900898,43.1
470000,-2676778.4870336186,300.8992260478548,1992.6804781413052,1.015296612233697,43.1
472000,-2675256.2961261515,300.95870090465746,1991.0321769554932,1.0161371383835327,43.2
474000,-2677252.674945865,300.99929075610265,1988.490343694326,1.017436038921039,43.2
476000,-2675209.6439131238,299.38461003924397,1991.2223122846876,1.0160401107597856,43.3
478000,-2674440.076044997,299.35224951069216,1988.8407672854507,1.0172567718845005,43.3
480000,-2675593.973744411,300.7973048271124,1989.3768756811028,1.0169826358459209,43.4
482000,-2677025.57914065,300.05263232120967,1987.475139969537,1.0179557459783375,43.4
484000,-2674649.6607429367,300.4791554761175,1990.218113966051,1.0165527710374367,43.5
486000,-2675098.3827498686,299.826500651019,1990.663191183488,1.0163254877477699,43.5
488000,-2674465.0070472695,300.56448952065426,1993.1384304296062,1.0150633332000996,43.6
490000,-2674264.4632139467,300.7219390263843,1989.1410826311408,1.0171031891035847,43.6
492000,-2674888.839479847,298.9351236660959,1988.3588916535068,1.0175033024539357,43.7
494000,-2677570.841781663,300.1295151989341,1994.7179392914402,1.0142595596446857,43.7
496000,-2673758.2022455316,299.2968294600665,1992.3694186300586,1.0154551258431805,43.8
498000,-2674709.5464011002,299.87684244075285,1988.5830381553656,1.0173886128475684,43.8
500000,-2674593.742076084,299.89279200405844,1991.2931799165126,1.0160039511639938,43.8
502000,-2673909.245615296,301.00177875266354,1991.010678448463,1.0161481104147978,43.9
504000,-2675608.406534478,300.30922093369827,1986.8286898429017,1.0182869560239045,43.9
506000,-2672688.3014740497,301.8579123198269,1991.8637815501038,1.015712900380482,44
508000,-2673905.94870501,300.3157126567301,1991.0643278212422,1.016120730230234,44
510000,-2673468.508411076,300.78045048225454,1993.4638050593767,1.0148976538156051,44.1
512000,-2675206.7512629833,300.4050852868853,1993.2271223695186,1.015018166277,44.1
514000,-2673399.2564775404,300.8924299571199,1991.3040982752286,1.015998380394765,44.2
516000,-2674587.6439492907,300.8485379758194,1989.8336386549552,1.0167491891878275,44.2
518000,-2676819.322559554,300.0089819118197,1989.970141330867,1.0166794449327896,44.3
520000,-2675245.040460186,301.3709095112346,1988.2522242493344,1.0175578903149152,44.3
522000,-2674587.9601877835,300.897512489089,1990.5786930988427,1.016368629753353,44.3
524000,-2673098.657092683,301.5409021450184,1992.8168875044203,1.0152271146470817,44.4
526000,-2674166.8788305074,300.67973872334824,1989.7293853124374,1.0168024625134655,44.4
528000,-2674389.650073787,301.5265143118801,1991.464632785613,1.0159164794662412,44.5
530000,-2674252.384242095,300.97994702320796,1991.2524041287775,1.0160247563423654,44.5
532000,-2672578.9257712904,299.465576434412,1991.8131843299582,1.015738702122146,44.6
534000,-2672667.141276598,301.0163422842741,1989.9697891110095,1.0166796248826016,44.6
536000,-2674692.22769827,301.1704150748097,1991.3460525361702,1.01597697504379,44.6
538000,-2677028.016331861,300.1968258291266,1990.4593241752673,1.0164295819304787,44.7
