#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2697039.269219704,300.2494475985431,2046.178046057224,1.0012328204134424,0
4000,-2699581.811308928,300.4862024881076,2028.3014919312861,1.0100572445821314,133
6000,-2703787.576202417,299.7946473975213,2020.8143568975165,1.0137995155909507,131
8000,-2705555.176939275,300.52164968818846,2020.9219350339956,1.0137455488044265,132
10000,-2707191.0580230914,301.05338941965545,2016.5769248052209,1.015929812010431,133
12000,-2707376.769297879,300.0307046476761,2018.8137237684114,1.0148041852508025,134
14000,-2705318.9976923577,300.50858928395195,2021.0444689237518,1.0136840864332475,135
16000,-2703911.3699022103,301.01514206732463,2020.073036438759,1.0141715567540324,134
18000,-2705480.8916118946,300.5250092739486,2020.9424937655665,1.0137352361296799,135
20000,-2707385.899555683,300.8404867412829,2021.9061702759834,1.013252071851732,135
22000,-2703865.135306254,300.57641975857524,2022.698356472389,1.0128552334886456,135
24000,-2707717.11466055,299.46396499903267,2020.5066952343655,1.0139538863959592,135
26000,-2705879.0021803156,300.3483846184271,2018.046263968569,1.01519011367613,135
28000,-2709410.741710432,299.0928660450496,2017.5897732597114,1.015419805985617,135
30000,-2710027.7547661476,299.5147644014094,2019.8401953099183,1.0142884674139256,135
32000,-2710247.994521994,299.11267511973716,2019.7911649446248,1.0143130892337124,135
34000,-2705217.100187581,300.3415377184742,2020.1927176048969,1.0141114747462523,135
36000,-2706251.998555761,299.51562750739197,2021.2958808842682,1.013558002812376,135
38000,-2707422.6748440657,300.463050292316,2018.7332230126715,1.014844652462076,136
40000,-2707381.4726076964,301.5390044460629,2018.7408633558343,1.0148408115721714,135
42000,-2704933.461250838,300.25574948128633,2019.8967213920612,1.0142600829165311,135
44000,-2705792.4295676034,299.57149791476303,2015.311759615019,1.0165675887850227,136
46000,-2707997.4249436166,299.83025131136134,2012.0620935026034,1.018209439329756,135
48000,-2706372.855825212,299.607390197773,2015.301254199842,1.0165728879751825,135
50000,-2707478.5165565163,300.0242358921526,2019.8533589060473,1.0142818571896317,135
52000,-2706450.0389152747,300.0427611096947,2019.9981565119276,1.0142091513883242,135
54000,-2706758.0664385743,301.45620546047724,2020.4889249512598,1.013962804162048,135
56000,-2705799.054582117,300.7883023953586,2020.3285162736233,1.0140433100952555,135
58000,-2705457.321894888,300.2050967101995,2020.9422525015166,1.013735357151381,135
60000,-2708950.6957233045,301.6367214418973,2016.8378061672863,1.0157983997806972,135
62000,-2706810.524251394,300.1353829371685,2015.8571004104458,1.0162925813068835,135
64000,-2707389.872314023,301.84054082809746,2017.9270119405057,1.0152501076596634,135
66000,-2707873.423737677,300.62378037290904,2018.5345157454929,1.0149445551419303,135
68000,-2706773.6463887654,300.0042066993475,2017.6237733698522,1.0154026945767913,135
70000,-2706693.093012912,301.4868106209611,2018.3981152949568,1.0150131436396808,135
