#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2000,-2696028.603550166,300.2850006075165,2056.4823527076896,0.9966406946329275,0
4000,-2702809.2486451957,300.2411532750095,2038.679520929217,1.0053438902298713,65.2
6000,-2704209.3976259027,300.5330715806703,2026.903065158546,1.0111850121173058,64.7
8000,-2706870.467094658,300.2352140756376,2021.6007148757442,1.0138371961492525,64.5
10000,-2707048.258538883,300.6471000183751,2021.7262336383592,1.0137742521223925,64
12000,-2709709.4904088713,301.1669572800621,2020.7511252867641,1.0142634463272138,62.9
14000,-2704995.517909726,300.0581347952241,2021.3945331134087,1.0139406073024928,61.8
16000,-2709396.4666761234,300.66721370500017,2019.959125894108,1.0146611256778437,61
18000,-2707520.5701992195,300.1857464228355,2021.4014932183056,1.0139371160945316,60.3
20000,-2708468.96879177,299.9153572400517,2020.6544266333167,1.0143119840228276,59.8
22000,-2706791.845873948,300.74018282409907,2021.6696690478354,1.013802616660048,59.4
24000,-2708749.7470280714,300.6201442528995,2017.9361753685769,1.0156783081251781,59
26000,-2709982.210819876,300.43929827750554,2018.3939262478648,1.0154479627834825,58.6
28000,-2708031.0094456747,300.4487103136019,2019.9902756968904,1.0146454788233334,58.4
30000,-2706083.972712327,299.38147887311203,2018.2170517759355,1.0155369556011928,58.1
32000,-2708905.594948517,300.60672571850296,2020.090289561896,1.0145952441301258,57.9
34000,-2709178.909639843,299.3851123838778,2020.6215759551553,1.0143284744121905,57.8
36000,-2709839.532093011,300.76140539677243,2022.2239116614608,1.0135247579082463,57.6
38000,-2708658.468354374,300.38619002606566,2018.8589398261931,1.015214069725644,57.5
40000,-2708368.5053044427,300.06188248848525,2022.5795592372097,1.0133465411248987,57.3
42000,-2706695.0351918563,300.6971799554604,2020.9604865921458,1.0141583737537851,57.2
44000,-2709547.6937746014,300.5455074089794,2021.8482841747154,1.0137130548049753,57
46000,-2709128.7985509224,300.2332229301254,2019.8610107045631,1.0147104130635314,56.9
48000,-2707726.969288245,300.087913980087,2020.813058385877,1.0142323615723488,56.8
50000,-2707769.9161990155,299.3384896964715,2019.1545000776252,1.0150654644922683,56.6
52000,-2706857.6793148704,299.4483560094984,2022.047178292757,1.0136133432027203,56.5
54000,-2708445.5102105867,300.1873591999897,2023.3044559927148,1.0129834857193278,56.3
56000,-2710211.204024261,301.42532370670085,2022.5808358575898,1.013345901516917,56.1
58000,-2710766.6567133646,300.7366311961709,2020.0670603343192,1.0146069112001392,56.1
